ME0	ME1	ME2	ME3	ME4	ME5	ME6	ME7	ME8
GSM2858677	0.00390863785568347	-0.0118725022585446	0.0157510791101568	-0.0301944123472883	0.00204415614221375	-0.0880792214737595	-0.00665458104376798	-0.0351057713807476	-0.00424790572766136
GSM2858678	-0.0335843736230521	0.0854133203342727	-0.0183008440785769	-0.000746741071039447	-0.0467134814849385	-0.047001887740332	-0.00826070227030152	0.00801647896170723	-0.0854357936214064
GSM2858679	0.00391312261159249	-0.0504086175290022	0.0169469684959102	0.0221000679957535	0.0277973549452241	0.0958307897828195	-0.0444749902821652	0.269684482906852	-0.0496715096982074
GSM2858681	-0.137366447164239	0.195242774933543	-0.123210222506513	0.0335062131871323	-0.0679283885829429	-0.144225053717335	-0.0405156942979145	-0.001899750675676	-0.109455231125113
GSM2858684	-0.115054566915892	0.123398766425146	-0.126559105963028	0.094243685822268	-0.137709360074036	-0.0623527727999985	0.00931002029187061	-0.019876669292528	-0.0937264911509833
GSM2858685	-0.0153492713597937	-0.0410904229708796	-0.00227841198032194	0.0566218354077559	-0.143754166040252	-0.130709112169793	-0.114798268879556	-0.0457067522297888	0.0454262989306849
GSM2858686	-0.0291338082777671	0.041104235071497	-0.0309721999353201	0.0420626092452465	-0.155769601079764	-0.106963797774698	0.0148127569261901	-0.023218908087419	-0.0890381429768699
GSM2858687	0.0721406506376285	-0.0797926921110681	0.0937958454190311	-0.0512831381029958	0.0844961151957255	0.11839383072815	0.0902907881685574	0.293782656898187	-0.024124594004322
GSM2858688	-0.088544241312882	0.137839998099109	-0.0757022171385983	0.0452623940250741	-0.11346031466654	-0.0147253076783392	-0.104471035527	-0.0038358271825016	-0.0977484124412964
GSM2858689	0.0387579712123378	-0.0641714315608823	0.0410803098353008	-0.0329863939865517	0.0333209553869525	0.0387635801775551	-0.0133204786420879	-0.0364686148268315	0.0402641575921011
GSM2858691	-0.00813306925857982	-0.0255594775601224	-0.027256291393481	0.0354132037415794	-0.0636810819818413	-0.00474166567424843	-0.0513957810320158	-0.041622973495203	-0.0462298471495201
GSM2858692	-0.141483008558626	0.145962439673146	-0.13789173227841	0.06507645296484	-0.0798322377484705	-0.00281560433016388	-0.0879350369003552	-0.00580270661172028	-0.117699046979235
GSM2858693	0.0147297369547782	-0.0615031358323216	0.0267399542286379	0.0159795194253214	0.146376990049007	0.0865249812874575	0.0942805643321368	-0.0341502638294804	-0.0204598573740166
GSM2858694	-0.127297488997883	0.172210147956853	-0.142878929933374	0.112586279518522	-0.0823091019082473	-0.0865308709978256	-0.0856555061996035	0.07898673152846	-0.0981677831178906
GSM2858695	0.0637600823677083	-0.0335664436742317	0.0946219089837814	-0.0599605398446037	0.185740706070201	-0.0215133299225727	0.129168581290661	-0.0387378400796173	-0.0201939084308261
