treat_Ctrl	treat_Treat
GSM2858677	1	0
GSM2858678	1	0
GSM2858679	1	0
GSM2858681	0	1
GSM2858684	1	0
GSM2858685	0	1
GSM2858686	0	1
GSM2858687	1	0
GSM2858688	1	0
GSM2858689	1	0
GSM2858691	1	0
GSM2858692	1	0
GSM2858693	1	0
GSM2858694	0	1
GSM2858695	1	0
GSM2858696	1	0
GSM2858698	1	0
GSM2858699	1	0
GSM2858700	1	0
GSM2858701	1	0
GSM2858703	0	1
GSM2858705	1	0
GSM2858708	1	0
GSM2858709	1	0
GSM2858710	1	0
GSM2858713	0	1
GSM2858714	1	0
GSM2858715	0	1
GSM2858717	1	0
GSM2858720	0	1
GSM2858721	0	1
GSM2858723	1	0
GSM2858724	1	0
GSM2858725	1	0
GSM2858726	0	1
GSM2858727	0	1
GSM2858733	1	0
GSM2858737	1	0
GSM2858738	1	0
GSM2858739	0	1
GSM2858740	1	0
GSM2858741	0	1
GSM2858742	0	1
GSM2858745	1	0
GSM2858746	1	0
GSM2858747	0	1
GSM2858748	1	0
GSM2858749	1	0
GSM2858750	1	0
GSM2858751	1	0
GSM2858753	1	0
GSM2858755	0	1
GSM2858756	0	1
GSM2858758	0	1
GSM2858759	0	1
GSM2858761	0	1
GSM2858763	1	0
GSM2858764	0	1
GSM2858766	0	1
GSM2858767	0	1
GSM2858768	1	0
GSM2858769	1	0
GSM2858771	1	0
GSM2858774	1	0
GSM2858776	1	0
GSM2858779	1	0
GSM2858780	0	1
GSM2858781	0	1
GSM2858782	1	0
GSM2858783	1	0
GSM2858786	1	0
GSM2858787	1	0
GSM2858792	1	0
GSM2858680	1	0
GSM2858682	1	0
GSM2858683	0	1
GSM2858690	1	0
GSM2858697	0	1
GSM2858702	1	0
GSM2858704	1	0
GSM2858706	0	1
GSM2858707	1	0
GSM2858711	1	0
GSM2858712	0	1
GSM2858716	1	0
GSM2858718	0	1
GSM2858719	1	0
GSM2858722	1	0
GSM2858728	0	1
GSM2858729	1	0
GSM2858730	1	0
GSM2858731	1	0
GSM2858732	1	0
GSM2858734	0	1
GSM2858735	1	0
GSM2858736	0	1
GSM2858743	0	1
GSM2858744	1	0
GSM2858752	0	1
GSM2858754	1	0
GSM2858757	0	1
GSM2858760	0	1
GSM2858762	1	0
GSM2858765	1	0
GSM2858770	1	0
GSM2858772	1	0
GSM2858773	1	0
GSM2858775	0	1
GSM2858777	0	1
GSM2858778	1	0
GSM2858784	1	0
GSM2858785	0	1
GSM2858788	0	1
GSM2858789	0	1
GSM2858790	0	1
GSM2858791	1	0
GSM2858793	0	1
GSM2858794	0	1
GSM2858795	0	1
