A	B	correlation	p-value
treat_Treat	treat_Treat	0.999999999999999	0
ME4	treat_Treat	0.221812562407237	0.0153324060416918
ME6	treat_Treat	0.130106180519018	0.158447573147235
ME5	treat_Treat	0.151308205084442	0.100460107879142
ME8	treat_Treat	0.111327201855021	0.228061053147605
ME0	treat_Treat	0.172620476059826	0.0604757440071935
ME2	treat_Treat	0.177473599774657	0.0534916254470453
ME7	treat_Treat	-0.057455524359218	0.534821316709072
treat_Ctrl	treat_Treat	-0.999999999999999	0
ME1	treat_Treat	-0.123150124128318	0.182100886930372
ME3	treat_Treat	-0.157646078254668	0.0868436483813172
treat_Treat	ME4	0.221812562407237	0.0153324060416918
ME4	ME4	0.999999999999999	0
ME6	ME4	0.724709941959773	1.19991575474295e-20
ME5	ME4	0.467289404720303	8.43399478548651e-08
ME8	ME4	0.355964836681694	7.09500172586121e-05
ME0	ME4	0.642445695312368	3.39442630781502e-15
ME2	ME4	0.641318264143484	3.92679573213854e-15
ME7	ME4	-0.00614569782918119	0.947111418245482
treat_Ctrl	ME4	-0.221812562407237	0.0153324060416918
ME1	ME4	-0.559520094161116	3.7245857924865e-11
ME3	ME4	-0.589594840509452	1.72969549793761e-12
treat_Treat	ME6	0.130106180519018	0.158447573147235
ME4	ME6	0.724709941959773	1.19991575474295e-20
ME6	ME6	1	0
ME5	ME6	0.312958253734166	0.000529421858449541
ME8	ME6	0.220671209792898	0.0158810422338409
ME0	ME6	0.506132045815081	4.30379343736139e-09
ME2	ME6	0.499827118237476	7.1562749887419e-09
ME7	ME6	-0.0691756451691909	0.454732775168675
treat_Ctrl	ME6	-0.130106180519018	0.158447573147235
ME1	ME6	-0.431452732280865	9.63970429392701e-07
ME3	ME6	-0.493458673523903	1.18372821041091e-08
treat_Treat	ME5	0.151308205084442	0.100460107879142
ME4	ME5	0.467289404720303	8.43399478548651e-08
ME6	ME5	0.312958253734166	0.000529421858449541
ME5	ME5	1	0
ME8	ME5	0.277162066508267	0.00227636849506042
ME0	ME5	0.61418455222075	1.09965454949673e-13
ME2	ME5	0.579849944219666	4.84012101139901e-12
ME7	ME5	0.240958210993969	0.00829516457792658
treat_Ctrl	ME5	-0.151308205084442	0.100460107879142
ME1	ME5	-0.550172612520528	9.09488597673087e-11
ME3	ME5	-0.554795371845803	5.86886143320749e-11
treat_Treat	ME8	0.111327201855021	0.228061053147605
ME4	ME8	0.355964836681694	7.09500172586121e-05
ME6	ME8	0.220671209792898	0.0158810422338409
ME5	ME8	0.277162066508267	0.00227636849506042
ME8	ME8	1	0
ME0	ME8	0.731803344446326	3.28172548363474e-21
ME2	ME8	0.737414974954307	1.14247629702986e-21
ME7	ME8	-0.224701731876514	0.0140166292698754
treat_Ctrl	ME8	-0.111327201855021	0.228061053147605
ME1	ME8	-0.613902642361094	1.13649374019695e-13
ME3	ME8	-0.63278665774538	1.16000046056678e-14
treat_Treat	ME0	0.172620476059826	0.0604757440071935
ME4	ME0	0.642445695312368	3.39442630781502e-15
ME6	ME0	0.506132045815081	4.30379343736139e-09
ME5	ME0	0.61418455222075	1.09965454949673e-13
ME8	ME0	0.731803344446326	3.28172548363474e-21
ME0	ME0	1	0
ME2	ME0	0.985760856467376	1.90798099503538e-92
ME7	ME0	-0.0101062298771598	0.91313503296099
treat_Ctrl	ME0	-0.172620476059826	0.0604757440071935
ME1	ME0	-0.862816784197716	1.84849020735586e-36
ME3	ME0	-0.875930979151214	7.68849486303241e-39
treat_Treat	ME2	0.177473599774657	0.0534916254470453
ME4	ME2	0.641318264143484	3.92679573213854e-15
ME6	ME2	0.499827118237476	7.1562749887419e-09
ME5	ME2	0.579849944219666	4.84012101139901e-12
ME8	ME2	0.737414974954307	1.14247629702986e-21
ME0	ME2	0.985760856467376	1.90798099503538e-92
ME2	ME2	1	0
ME7	ME2	0.019667095824685	0.831874049973345
treat_Ctrl	ME2	-0.177473599774657	0.0534916254470453
ME1	ME2	-0.834203491352833	5.02233739977371e-32
ME3	ME2	-0.871802707762974	4.60768872443902e-38
treat_Treat	ME7	-0.057455524359218	0.534821316709072
ME4	ME7	-0.00614569782918119	0.947111418245482
ME6	ME7	-0.0691756451691909	0.454732775168675
ME5	ME7	0.240958210993969	0.00829516457792658
ME8	ME7	-0.224701731876514	0.0140166292698754
ME0	ME7	-0.0101062298771598	0.91313503296099
ME2	ME7	0.019667095824685	0.831874049973345
ME7	ME7	1	0
treat_Ctrl	ME7	0.057455524359218	0.534821316709072
ME1	ME7	0.0189686660056265	0.837761212780191
ME3	ME7	-0.0217117846306434	0.81469368588666
treat_Treat	treat_Ctrl	-0.999999999999999	0
ME4	treat_Ctrl	-0.221812562407237	0.0153324060416918
ME6	treat_Ctrl	-0.130106180519018	0.158447573147235
ME5	treat_Ctrl	-0.151308205084442	0.100460107879142
ME8	treat_Ctrl	-0.111327201855021	0.228061053147605
ME0	treat_Ctrl	-0.172620476059826	0.0604757440071935
ME2	treat_Ctrl	-0.177473599774657	0.0534916254470453
