Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
1	GO:0007608	sensory perception of smell	24/308	458/18800	6.07311981585091e-07	0.000921547728691591	0.000921547728691591	CNGB1/CNGA2/OR2M3/OR8U3/OR10G8/OR10G9/OR10S1/OR1S2/OR1F2P/OR2L2/OR5L2/OR10H3/OR10G2/OR10H1/OR8G3P/OR5D16/OR10V1/OR7G2/OR2L3/OR2T2/OR2W5P/OR2H2/OR2T7/OR1D5	24
1	GO:0050911	detection of chemical stimulus involved in sensory perception of smell	23/308	432/18800	7.98568222436387e-07	0.000921547728691591	0.000921547728691591	CNGB1/OR2M3/OR8U3/OR10G8/OR10G9/OR10S1/OR1S2/OR1F2P/OR2L2/OR5L2/OR10H3/OR10G2/OR10H1/OR8G3P/OR5D16/OR10V1/OR7G2/OR2L3/OR2T2/OR2W5P/OR2H2/OR2T7/OR1D5	23
1	GO:0050907	detection of chemical stimulus involved in sensory perception	23/308	478/18800	4.40059786128346e-06	0.00338552662128074	0.00338552662128074	CNGB1/OR2M3/OR8U3/OR10G8/OR10G9/OR10S1/OR1S2/OR1F2P/OR2L2/OR5L2/OR10H3/OR10G2/OR10H1/OR8G3P/OR5D16/OR10V1/OR7G2/OR2L3/OR2T2/OR2W5P/OR2H2/OR2T7/OR1D5	23
1	GO:0009581	detection of external stimulus	11/308	136/18800	1.51132890659678e-05	0.00857047690990896	0.00857047690990896	TMC2/CNGB1/OPN1MW/NTRK1/PDC/CABP4/OPN1LW/RGR/CACNA1F/TRPM8/CSRP3	11
1	GO:0009582	detection of abiotic stimulus	11/308	139/18800	1.85668910526624e-05	0.00857047690990896	0.00857047690990896	TMC2/CNGB1/OPN1MW/NTRK1/PDC/CABP4/OPN1LW/RGR/CACNA1F/TRPM8/CSRP3	11
1	GO:0009583	detection of light stimulus	7/308	67/18800	0.000110935322848226	0.0426731208556176	0.0426731208556176	CNGB1/OPN1MW/PDC/CABP4/OPN1LW/RGR/CACNA1F	7
1	GO:0007602	phototransduction	6/308	49/18800	0.000142381142253589	0.0469450966173263	0.0469450966173263	CNGB1/OPN1MW/PDC/CABP4/OPN1LW/RGR	6
1	GO:0007601	visual perception	12/308	217/18800	0.00025434557241871	0.0733786976427978	0.0733786976427978	CNGB1/CRYAA/CRYBA1/RDH12/GABRR2/OPN1MW/GPR179/PDC/CABP4/OPN1LW/RGR/CACNA1F	12
1	GO:0050953	sensory perception of light stimulus	12/308	221/18800	0.000300581945110122	0.0770825699237957	0.0770825699237957	CNGB1/CRYAA/CRYBA1/RDH12/GABRR2/OPN1MW/GPR179/PDC/CABP4/OPN1LW/RGR/CACNA1F	12
2	GO:0002181	cytoplasmic translation	56/624	146/18800	9.34629265312165e-45	3.97778215316857e-41	3.32924782506986e-41	SYNCRIP/AARS1/EIF2S3/EIF4B/EIF4G1/RPL36/PABPC1/RPSA/RPL10A/YBX1/PKM/RPL3/RPL4/RPL6/RPL7/RPL8/RPL10/RPL11/RPL12/RPL13/RPL15/RPL17/RPL18/RPL19/RPL24/RPL27/RPL29/RPL32/RPLP0/RPLP1/RPS2/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS8/RPS10/RPS11/RPS15/RPS16/RPS17/RPS19/RPS21/RPS25/RPS27/RPS28/RPS29/EIF3CL/UBA52/CNBP/CSDE1/EIF3A/EIF3D/EIF3I/EIF2S2	56
2	GO:1903311	regulation of mRNA metabolic process	58/624	294/18800	1.37978508581401e-28	2.93618266261222e-25	2.45746985810243e-25	SYNCRIP/DDX17/KHDRBS1/CELF1/PAPOLA/NUDT21/U2AF2/RC3H1/ELAVL1/PATL1/CASC3/SNW1/CNOT1/LARP1/PUM2/TARDBP/SERBP1/DAZAP1/PABPC1/RBMX/PRPF19/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPL/HSPA8/MBNL1/HNRNPM/NCBP1/NCL/NPM1/YBX1/NUP98/POLR2G/RC3H2/PAF1/SAMD4B/PTBP1/SRSF3/SRSF6/SRSF7/TRA2B/SNRPA/SON/SUPT6H/TIA1/C1QBP/SF1/CSDE1/RBM42/FXR1/TAF15/YTHDC1/QKI/RBM39/PRDX6/PUM1/THRAP3	58
2	GO:0008380	RNA splicing	69/624	438/18800	1.22568693839522e-27	1.73884120327002e-24	1.45534196474716e-24	RBM12/SF3A1/SYNCRIP/DDX17/PRPF8/KHDRBS1/CELF1/TCERG1/U2AF2/DDX1/DHX15/CASC3/SNW1/KDM1A/TARDBP/SF3B3/MTREX/SRRM2/DAZAP1/PABPC1/RBMX/ZNF638/PRPF19/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPL/PRMT1/HSPA8/MBNL1/HNRNPM/NCBP1/NCL/NONO/YBX1/NUP98/RTRAF/SF3B6/LSM8/POLR2A/SLC38A2/THOC2/PTBP1/SRSF3/SRSF6/SRSF7/TRA2B/SNRPA/SNRPD2/SON/SUPT6H/TIA1/C1QBP/SF1/RBM42/FXR1/TAF15/CDK13/YTHDC1/SRSF11/EFTUD2/ZRANB2/DDX23/QKI/RBM39/PRDX6/AQR/THRAP3/PTBP3	69
2	GO:0006397	mRNA processing	69/624	500/18800	3.65407674039324e-24	3.88793765177841e-21	3.2540514972344e-21	SF3A1/SYNCRIP/DDX17/PRPF8/KHDRBS1/CELF1/PAPOLA/TCERG1/NUDT21/U2AF2/DDX1/DHX15/CASC3/XRN2/SNW1/KDM1A/TARDBP/SF3B3/MTREX/SRRM2/DAZAP1/PABPC1/RBMX/PRPF19/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPL/HSPA8/MBNL1/HNRNPM/NCBP1/NCL/NONO/YBX1/NUP98/SF3B6/LSM8/CPSF2/PAF1/THOC2/PTBP1/SCAF4/RBBP6/SRSF3/SRSF6/SRSF7/TRA2B/SNRPA/SNRPD2/SON/SUPT6H/TIA1/C1QBP/SF1/RBM42/FXR1/CDK13/YTHDC1/SRSF11/EFTUD2/ZRANB2/DDX23/QKI/RBM39/PRDX6/AQR/THRAP3/PTBP3	69
2	GO:0022613	ribonucleoprotein complex biogenesis	65/624	448/18800	5.08324848900649e-24	4.32686111384233e-21	3.62141323932589e-21	SF3A1/DDX17/NOP56/PRPF8/CELF1/PTGES3/NUDT21/PWP1/DDX1/DDX3X/DKC1/EIF2S3/EIF4B/FBL/XRN2/WDR43/MTREX/NOL11/RSL1D1/PRPF19/NOB1/HSP90AA1/HSP90AB1/RPSA/NCBP1/RPL10A/NPM1/PA2G4/NIP7/SDAD1/NOP10/PRKDC/RPL3/RPL6/RPL7/RPL10/RPL11/RPL24/RPL27/RPLP0/RPS5/RPS6/RPS8/RPS15/RPS16/RPS17/RPS19/RPS21/RPS25/RPS27/RPS28/SRSF6/SNRPD2/C1QBP/EIF3CL/XPO1/XRCC5/SF1/NOL10/UTP4/EIF3A/EIF2S2/YTHDC1/NOLC1/DDX23	65
2	GO:0050684	regulation of mRNA processing	37/624	139/18800	2.03922186416518e-23	1.4464880423145e-20	1.21065382251491e-20	DDX17/KHDRBS1/CELF1/PAPOLA/NUDT21/U2AF2/SNW1/DAZAP1/RBMX/PRPF19/HNRNPA2B1/HNRNPK/HNRNPL/HSPA8/MBNL1/NCBP1/NCL/NUP98/PAF1/PTBP1/SRSF3/SRSF6/SRSF7/TRA2B/SNRPA/SON/SUPT6H/TIA1/C1QBP/SF1/RBM42/FXR1/YTHDC1/QKI/RBM39/PRDX6/THRAP3	37
2	GO:0048024	regulation of mRNA splicing, via spliceosome	32/624	103/18800	1.04826940113824e-22	6.3734779589205e-20	5.33435135857414e-20	DDX17/KHDRBS1/CELF1/U2AF2/SNW1/DAZAP1/RBMX/PRPF19/HNRNPA2B1/HNRNPK/HNRNPL/HSPA8/MBNL1/NCBP1/NCL/NUP98/PTBP1/SRSF3/SRSF6/SRSF7/TRA2B/SON/TIA1/C1QBP/SF1/RBM42/FXR1/YTHDC1/QKI/RBM39/PRDX6/THRAP3	32
2	GO:0006417	regulation of translation	64/624	463/18800	1.68251171965592e-22	8.95096234856951e-20	7.491604814889e-20	LRPPRC/TRAP1/EIF1/SYNCRIP/KHDRBS1/CELF1/TMED2/GCN1/MTPN/RC3H1/AARS1/DDX1/DDX3X/DDX6/EEF2/EIF2S3/EIF4B/EIF4EBP2/EIF4G1/EIF4G2/ELAVL1/PATL1/CASC3/CNOT1/CYFIP1/LARP1/PUM2/TARDBP/LSM14A/PABPC1/EIF3K/GSPT1/ILF3/RHOA/NCBP1/NCL/NPM1/YBX1/PA2G4/SELENOT/PKM/POLR2G/XRN1/RC3H2/SAMD4B/CNOT11/PRKDC/DNAJC3/RPL10/RPLP1/RPS3/RPS4X/ATXN2/TIA1/C1QBP/CNBP/CSDE1/FXR1/CALR/MAPKAPK5/EIF3D/NOLC1/QKI/PUM1	64
2	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	52/624	321/18800	1.37370398174474e-21	5.84648414630561e-19	4.89327818339389e-19	SF3A1/SYNCRIP/DDX17/PRPF8/KHDRBS1/CELF1/U2AF2/DDX1/CASC3/SNW1/KDM1A/SF3B3/MTREX/SRRM2/DAZAP1/PABPC1/RBMX/PRPF19/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPL/HSPA8/MBNL1/HNRNPM/NCBP1/NCL/NUP98/SF3B6/LSM8/PTBP1/SRSF3/SRSF6/SRSF7/TRA2B/SNRPA/SNRPD2/SON/TIA1/C1QBP/SF1/RBM42/FXR1/CDK13/YTHDC1/EFTUD2/DDX23/QKI/RBM39/PRDX6/AQR/THRAP3	52
2	GO:0000398	mRNA splicing, via spliceosome	52/624	321/18800	1.37370398174474e-21	5.84648414630561e-19	4.89327818339389e-19	SF3A1/SYNCRIP/DDX17/PRPF8/KHDRBS1/CELF1/U2AF2/DDX1/CASC3/SNW1/KDM1A/SF3B3/MTREX/SRRM2/DAZAP1/PABPC1/RBMX/PRPF19/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPL/HSPA8/MBNL1/HNRNPM/NCBP1/NCL/NUP98/SF3B6/LSM8/PTBP1/SRSF3/SRSF6/SRSF7/TRA2B/SNRPA/SNRPD2/SON/TIA1/C1QBP/SF1/RBM42/FXR1/CDK13/YTHDC1/EFTUD2/DDX23/QKI/RBM39/PRDX6/AQR/THRAP3	52
2	GO:0000375	RNA splicing, via transesterification reactions	52/624	325/18800	2.4487574106517e-21	9.47446503612149e-19	7.92975605516302e-19	SF3A1/SYNCRIP/DDX17/PRPF8/KHDRBS1/CELF1/U2AF2/DDX1/CASC3/SNW1/KDM1A/SF3B3/MTREX/SRRM2/DAZAP1/PABPC1/RBMX/PRPF19/HNRNPA2B1/HNRNPC/HNRNPK/HNRNPL/HSPA8/MBNL1/HNRNPM/NCBP1/NCL/NUP98/SF3B6/LSM8/PTBP1/SRSF3/SRSF6/SRSF7/TRA2B/SNRPA/SNRPD2/SON/TIA1/C1QBP/SF1/RBM42/FXR1/CDK13/YTHDC1/EFTUD2/DDX23/QKI/RBM39/PRDX6/AQR/THRAP3	52
2	GO:0043484	regulation of RNA splicing	36/624	154/18800	9.63466817704854e-21	3.41709564679322e-18	2.85997518518704e-18	RBM12/DDX17/KHDRBS1/CELF1/U2AF2/SNW1/DAZAP1/RBMX/PRPF19/HNRNPA2B1/HNRNPK/HNRNPL/HSPA8/MBNL1/NCBP1/NCL/NUP98/POLR2A/SLC38A2/PTBP1/SRSF3/SRSF6/SRSF7/TRA2B/SON/TIA1/C1QBP/SF1/RBM42/FXR1/YTHDC1/QKI/RBM39/PRDX6/THRAP3/PTBP3	36
2	GO:0006913	nucleocytoplasmic transport	46/624	308/18800	8.83922138503379e-18	2.68712330105027e-15	2.24901692984619e-15	TRIM28/NUTF2/NXF1/IPO7/KHDRBS1/XPOT/DDX19B/ATF2/CSE1L/ELAVL1/SMG1/NUP205/XPO6/WASHC4/TARDBP/GSK3B/HNRNPA2B1/AGFG1/HSPA9/HSP90AB1/KPNB1/KPNA2/KPNA4/TNPO1/NCBP1/NF1/NFKBIA/NPM1/NUP98/PPP1CC/SDAD1/THOC2/PTPN11/RPS15/SRSF3/STAT3/SUPT6H/TXN/SUMO1/XPO1/YWHAE/CALR/YTHDC1/NOLC1/NUP93/NUP153	46
