sample	treat 	treat_received
GSM2858678	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858682	Treat	Anthracyclines and/or taxanes + carboplatin
GSM2858686	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858688	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858690	Treat	Anthracyclines and/or taxanes + carboplatin
GSM2858692	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858694	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858699	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858701	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858705	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858707	Treat	Anthracyclines and/or taxanes + carboplatin
GSM2858711	Treat	Anthracyclines and/or taxanes + carboplatin
GSM2858713	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858716	Treat	Anthracyclines and/or taxanes + carboplatin
GSM2858718	Treat	Anthracyclines and/or taxanes + carboplatin
GSM2858726	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858727	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858729	Treat	Anthracyclines and/or taxanes + carboplatin
GSM2858739	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858742	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858746	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858748	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858749	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858760	Treat	Anthracyclines and/or taxanes + carboplatin
GSM2858761	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858766	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858767	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858772	Treat	Anthracyclines and/or taxanes + carboplatin
GSM2858780	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858789	Treat	Anthracyclines and/or taxanes + carboplatin
GSM2858792	Ctrl	Anthracyclines and/or taxanes + carboplatin
GSM2858677                               Ctrl	Anthracyclines and/or taxanes
GSM2858679                               Ctrl	Anthracyclines and/or taxanes
GSM2858680                              Treat	Anthracyclines and/or taxanes
GSM2858681                               Ctrl	Anthracyclines and/or taxanes
GSM2858683                              Treat	Anthracyclines and/or taxanes
GSM2858684                               Ctrl	Anthracyclines and/or taxanes
GSM2858685                               Ctrl	Anthracyclines and/or taxanes
GSM2858687                               Ctrl	Anthracyclines and/or taxanes
GSM2858689                               Ctrl	Anthracyclines and/or taxanes
GSM2858691                               Ctrl	Anthracyclines and/or taxanes
GSM2858693                               Ctrl	Anthracyclines and/or taxanes
GSM2858695                               Ctrl	Anthracyclines and/or taxanes
GSM2858696                               Ctrl	Anthracyclines and/or taxanes
GSM2858697                              Treat	Anthracyclines and/or taxanes
GSM2858698                               Ctrl	Anthracyclines and/or taxanes
GSM2858700                               Ctrl	Anthracyclines and/or taxanes
GSM2858702                              Treat	Anthracyclines and/or taxanes
GSM2858703                               Ctrl	Anthracyclines and/or taxanes
GSM2858704                              Treat	Anthracyclines and/or taxanes
GSM2858706                              Treat	Anthracyclines and/or taxanes
GSM2858708                               Ctrl	Anthracyclines and/or taxanes
