ANTH.TAX...CARB-ANTH.TAX	id
-1	9636
1	254099
1	254173
-1	126792
1	6339
1	643965
-1	55210
-1	6497
-1	11079
1	63976
-1	127262
1	7161
1	148870
1	1677
1	390992
1	80835
-1	148479
-1	23261
-1	9341
1	102724539
1	50651
1	102724571
-1	199953
-1	10277
-1	23095
-1	23435
1	101929181
1	93611
-1	57085
1	284498
-1	9927
1	943
-1	55187
1	93190
1	65121
1	391002
1	391003
1	343068
1	343070
1	645425
1	440560
1	107984918
-1	7799
1	114827
-1	23341
1	107397391
-1	84301
-1	23207
-1	23013
-1	26099
1	124903857
1	9696
1	100132147
1	29943
1	84966
1	127707
1	5081
1	5322
1	64600
1	127731
1	163933
-1	65018
-1	249
1	2046
-1	23028
-1	6135
-1	11313
1	100616492
-1	55629
1	284632
-1	10250
-1	25932
-1	23585
-1	55219
1	124900433
1	378807
1	101928303
-1	83442
1	79727
-1	8289
-1	4869
-1	23673
-1	5511
-1	93974
1	105378616
1	4985
-1	10657
1	55116
1	79140
1	149069
1	84734
-1	5928
1	402779
1	127534
1	2707
-1	9202
-1	26523
1	27285
-1	9967
-1	79647
-1	10487
-1	6018
1	127391
-1	10269
1	65243
1	127396
1	2981
-1	4904
1	440584
1	149465
1	4352
-1	5792
-1	9670
-1	533
-1	6202
1	400752
-1	4678
-1	51249
-1	23139
-1	7388
1	127343
1	100507423
1	100874253
1	107984953
1	200010
1	101929721
1	284546
-1	26994
-1	79699
1	105378732
-1	115353
-1	51253
1	163747
1	199964
1	255738
1	731
1	101926890
1	101926907
1	54596
-1	7398
-1	84938
1	27022
-1	29929
-1	5236
-1	4919
-1	57685
1	100616338
-1	55225
-1	57708
1	149233
-1	9295
1	101927295
1	101927320
-1	34
-1	5876
1	149047
1	101927412
1	105375358
-1	80135
1	126820
1	1179
-1	51100
-1	5586
1	163351
-1	284695
1	676
-1	79871
-1	22823
-1	1810
-1	54874
-1	5825
1	729987
-1	178
-1	693138
-1	148867
1	105378872
1	100129138
-1	55119
1	163479
-1	6814
-1	56900
-1	677766
1	284612
-1	2773
-1	10768
1	164153
1	84432
-1	10390
1	27159
-1	128346
1	643355
1	7482
-1	829
-1	9860
-1	204851
1	6847
1	112840934
1	126868
-1	5738
1	100874270
1	107985194
1	101954272
1	148738
1	284615
1	8515
1	148741
-1	653519
1	100873165
1	100996732
1	23632
1	8416
-1	58497
-1	57592
-1	81609
1	284485
1	353144
1	448834
1	353132
1	101928009
-1	26097
1	4881
-1	65123
-1	6232
-1	9898
-1	10456
1	89872
-1	3570
1	126668
-1	1163
-1	80308
-1	55974
-1	7818
1	339403
1	107985210
1	128229
1	164118
1	60484
1	63827
1	4914
1	149499
1	912
1	909
1	128371
1	26476
1	477
1	480
1	844
-1	8682
-1	23385
1	4807
1	101928372
1	126823
-1	51506
-1	2207
1	84134
-1	22926
-1	57645
1	92235
-1	55827
-1	261726
1	79100
1	149281
-1	23215
-1	51430
1	356
-1	9588
-1	55157
-1	9293
-1	27101
1	101928751
1	60676
1	57795
1	101928778
-1	6646
1	126859
-1	26092
1	148756
-1	9213
1	100287948
1	777
1	388719
1	353299
-1	1660
-1	9887
-1	116461
-1	6045
1	440704
-1	6738
-1	79577
1	56956
-1	140609
1	400800
1	2494
-1	23271
1	2848
1	91156
-1	89796
1	100302158
-1	55705
-1	10440
-1	6051
-1	100506696
-1	493
-1	9877
-1	6635
-1	9580
1	6900
1	9911
1	284576
1	1510
-1	9261
1	29949
1	50604
-1	4179
1	105372894
1	57172
-1	55758
-1	5525
-1	29937
1	149647
-1	26750
-1	56950
-1	1063
-1	51133
1	128153
-1	51018
-1	127018
-1	55699
-1	148362
-1	23219
-1	8560
-1	29097
-1	6726
-1	339500
1	89780
-1	375
-1	149603
1	677790
-1	64801
1	440730
-1	8443
1	148641
1	100506810
-1	7107
1	88
1	6262
-1	100616343
1	339529
-1	51029
-1	116228
1	148823
1	81470
-1	81469
1	391191
1	391192
1	391194
1	26245
1	127066
1	401992
1	100124412
1	7293
-1	51150
-1	118424
-1	54973
-1	81669
-1	55052
-1	29101
-1	643988
-1	728661
-1	65220
1	79906
1	100129534
-1	388585
1	79258
1	100287898
1	440556
-1	57470
-1	9731
1	105376672
1	261734
1	26038
-1	23463
1	54626
1	100422975
-1	79707
-1	55735
1	102725193
-1	473
-1	2023
1	644997
1	101929074
-1	22883
-1	56998
-1	84328
-1	6723
-1	5394
-1	2475
1	26232
-1	10459
1	102724659
-1	90231
1	400735
1	101927417
1	842
1	110806303
-1	440567
1	374955
-1	4237
-1	23400
-1	6390
-1	55920
-1	23352
-1	23065
-1	832
