ME0	ME1	ME2	ME3	ME4	ME5	ME6	ME7	ME8
GSM2858677	0.00790559750192639	0.00168896264210656	0.0414310739787409	-0.013385050790905	-0.00188271295890179	-0.0912314981606023	-0.032608119252693	-0.0398726046446602	-0.0187377728379086
GSM2858678	0.0322051365008191	-0.0321539408669084	0.044186093208055	0.090992775306294	-0.0416515119219698	-0.0443492291552184	0.00647468376233474	-0.0279737533345182	-0.00697382198436794
GSM2858679	0.0105716789754254	-0.000464692696612423	0.0481784338155005	-0.0587410208482125	0.00843889395955122	0.0856771107124418	0.286585448008824	-0.0266820126018172	-0.0292786841141346
GSM2858681	0.137220829887808	-0.137772449921236	0.132401709516127	0.202740363492254	-0.0732368784681566	-0.141178928789778	0.0045320578938754	-0.0555643506573175	1.84265756661198e-05
GSM2858684	0.108858930068165	-0.114297984082127	0.0750908038196125	0.11618005330901	-0.110373482372698	-0.0611719994931966	-0.00821397444627666	-0.0286678652915296	-0.0076600646086603
GSM2858685	0.0308362557427165	-0.0145991152677376	0.0497592031437145	-0.0488084989686612	-0.136545316999492	-0.13223230122922	-0.0473471086577392	-0.0253899660390578	-0.00441932777584778
GSM2858686	0.0328720565380152	-0.038996129871272	0.0502148413031911	0.0467834750903581	-0.115080296717941	-0.102063527829531	-0.0196102838610471	-0.0253899660390577	-0.00441932777584777
GSM2858687	-0.0625711459764965	0.0758690267817187	-0.0282231892260496	-0.080799715336727	0.090099077068992	0.114496969939083	0.296726059591368	-0.0114122764158764	0.00939989304532523
GSM2858688	0.0865990613200275	-0.0876259005310428	0.0590077361595582	0.1403956585831	-0.117680656701437	-0.016602028110658	-0.00442979907404758	-0.0351388647889008	-0.0140577006557197
GSM2858689	-0.0242451084015803	0.0295754101979279	0.0231068100956957	-0.0706515144725803	0.024038143984388	0.0388950903245885	-0.038155814236332	-0.0261520388712848	-0.00517276078475476
GSM2858691	0.0106848418682146	-0.0213833366192443	0.0390301654293194	-0.0352835944919929	-0.0621968292221879	-0.00857914525678264	-0.0435420345010052	-0.0125252310260301	0.00829955629896124
GSM2858692	0.131834937259827	-0.139294047022625	0.0804455047875216	0.144987189155907	-0.0910169049122213	-0.00574108859758408	-7.54930951001796e-05	0.0672919695261132	-0.0209305857830815
GSM2858693	-0.00357884809903499	0.0115251023549313	0.0401178212007897	-0.0635961764915406	0.131891861921832	0.0826908597255785	-0.0339625829775967	-0.0190775457350923	0.00182152693249273
GSM2858694	0.115578605598262	-0.125505565460582	0.065908941346243	0.168885863384395	-0.0929178595584723	-0.0855496691805458	0.0670354023935999	-0.0151151078187573	0.00573904163143191
GSM2858695	-0.0536372277886549	0.0708939218742448	-0.00803843193053626	-0.0290172029530027	0.180932235930169	-0.0232302945314824	-0.0376130105294656	-0.020303382660578	0.000609587647767206
GSM2858696	0.0593559827401091	-0.0450414800938969	0.0500347055483599	0.0367749771719333	-0.120903486578919	-0.146070612117128	-0.0134601702393373	-0.0104841890507779	-0.0165067034254698
GSM2858698	-0.0103543908653791	0.0283841579127847	0.0345697935471378	-0.0628437620314981	-0.029343373079258	-0.02235601970797	-0.00217829429083426	-0.0232514021939214	-0.00230500940043449
GSM2858699	0.108307926208732	-0.0965541348653417	0.0820381869369268	-0.0130652230576111	-0.0608617653802595	-0.0988092598886888	-0.00634511050379769	-0.0253899660390577	-0.00441932777584777
GSM2858700	0.0320074764630515	-0.0444868702101404	0.0498833289452911	0.0312503704109599	-0.0840154758137435	0.0637720938147563	-0.0345813773983749	-0.00864276780871043	0.0121380029934165
GSM2858701	0.0703554569015456	-0.0647688417511171	0.0553294956234175	0.148727658300001	0.0403294177835962	-0.0883399766524636	-0.0178229094545811	-0.0272081433149786	-0.00621689189018605
GSM2858703	0.140161815575899	-0.133918135260457	0.12356423977458	0.0420747448230077	-0.124446769439987	-0.0834986827992402	0.000396022024245578	-0.0275711516903378	-0.00657578474260024
GSM2858705	0.0491528246859871	-0.0447949657726627	0.0524937231489978	0.0240892371123753	-0.0299932180053865	0.0737255713621267	0.00386147410614824	-0.0182104960360438	0.00267874665743291
GSM2858708	0.067889802511654	-0.0658360682793555	0.0636600413103785	0.00214463970308202	-0.132689174458494	-0.015356408922751	-0.0213246474571777	-0.0185712154099529	0.0366540281370847
GSM2858709	0.04761540849404	-0.0358232484425996	0.0519440778537744	0.0100575198330056	-0.14148267377023	-0.0984734938959867	-0.0261744425643315	-0.0235385461370516	-0.00258889791595835
GSM2858710	-0.0643048966680323	0.0584799653404492	-0.0430573425891471	0.0177319864021352	0.104007042249443	0.10105851412336	0.084139371491932	-0.0192659318184973	0.00163527663245094
GSM2858713	0.11745479731542	-0.114972896728621	0.0871290519634136	0.112458790892412	-0.0711437620736613	-0.143157220456221	-0.000786302021135999	-0.0266820126018172	-0.00569672606149852
GSM2858714	0.157645478539406	-0.168319836485014	0.13435167390593	0.175856441552283	-0.143905198526289	-0.166588904414181	0.0169282966014624	-0.013204166197966	-0.024968085651136
GSM2858715	0.074292569905164	-0.0605099968647301	0.057965999456817	-0.0205590003606184	0.0584961163933422	-0.096718522097229	-0.0318097479953205	-0.0196082064298888	0.00129688247978238
GSM2858717	-0.0173765761202226	0.0139844491639442	0.0297406935087238	-0.0586833789497076	0.0197949110774846	0.14983589006995	-0.0345757230304915	-0.0199327613587204	0.00097600711689791
GSM2858720	0.0244929509899812	-0.0117590137122757	0.0451350083364512	-0.0302734711952321	-0.0740092499329854	-0.118425469451513	-0.0293173624207144	0.0174650585210771	0.0111515555650512
GSM2858721	0.00152867868177763	0.00752129422723081	0.0356364221051748	0.0118934383719732	-0.0624102142393128	0.0781903394229477	0.519772869144393	-0.0198960469935801	0.00101230524147082
GSM2858723	0.126620380972825	-0.123499141312882	0.0944710705497417	0.14427692787693	-0.100703421149147	0.0504951549992528	0.169469767785476	-0.0266820126018172	-0.00569672606149852
