A	B	correlation	p-value
treat_Treat	treat_Treat	0.999999999999999	0
ME5	treat_Treat	0.153181554173022	0.0962711037140965
ME1	treat_Treat	0.172311188939323	0.0609450107969596
ME4	treat_Treat	0.212656805805507	0.0202355975459668
ME7	treat_Treat	-0.0504121766002708	0.586115608399956
treat_Ctrl	treat_Treat	-0.999999999999999	0
ME3	treat_Treat	-0.106192799908999	0.250369384677568
ME0	treat_Treat	-0.172342795215631	0.0608969199007916
ME2	treat_Treat	-0.132054512794004	0.152253479171333
ME6	treat_Treat	-0.0691234760309936	0.455073830586448
ME8	treat_Treat	0.0910096833852099	0.324936685493218
treat_Treat	ME5	0.153181554173022	0.0962711037140965
ME5	ME5	1	0
ME1	ME5	0.630673685825119	1.5091212113485e-14
ME4	ME5	0.522731651758302	1.07274776638051e-09
ME7	ME5	-0.0919265047246301	0.320066053829037
treat_Ctrl	ME5	-0.153181554173022	0.0962711037140965
ME3	ME5	-0.540857167262374	2.15505580405136e-10
ME0	ME5	-0.661427600925977	2.6585294493366e-16
ME2	ME5	-0.629675568590608	1.70764472933602e-14
ME6	ME5	0.196431240885255	0.0322660062598792
ME8	ME5	0.0251471446363776	0.786029317264063
treat_Treat	ME1	0.172311188939323	0.0609450107969596
ME5	ME1	0.630673685825119	1.5091212113485e-14
ME1	ME1	1	0
ME4	ME1	0.689213250527025	4.50005709158738e-18
ME7	ME1	-0.114425546458938	0.215295770505803
treat_Ctrl	ME1	-0.172311188939323	0.0609450107969596
ME3	ME1	-0.801205760452111	7.3831034759631e-28
ME0	ME1	-0.992153504480887	1.65651895465556e-107
ME2	ME1	-0.91827580906282	6.70005492678633e-49
ME6	ME1	-0.0397795271167382	0.667535320621278
ME8	ME1	-0.132697447864045	0.150249928127202
treat_Treat	ME4	0.212656805805507	0.0202355975459668
ME5	ME4	0.522731651758302	1.07274776638051e-09
ME1	ME4	0.689213250527025	4.50005709158738e-18
ME4	ME4	1	0
ME7	ME4	-0.076545150357219	0.408004668485188
treat_Ctrl	ME4	-0.212656805805507	0.0202355975459668
ME3	ME4	-0.562748015137253	2.71873640687971e-11
ME0	ME4	-0.70055416515792	7.44612128078242e-19
ME2	ME4	-0.631170598620931	1.4188304534741e-14
ME6	ME4	-0.0354202865390442	0.70214148552469
ME8	ME4	0.0404578727235279	0.662210189586463
treat_Treat	ME7	-0.0504121766002708	0.586115608399956
ME5	ME7	-0.0919265047246301	0.320066053829037
ME1	ME7	-0.114425546458938	0.215295770505803
ME4	ME7	-0.076545150357219	0.408004668485188
ME7	ME7	1	0
treat_Ctrl	ME7	0.0504121766002708	0.586115608399956
ME3	ME7	0.185576208159692	0.0433194836752758
