ID	logFC	P.Value	adj.P.Val
PSR01062381.hg.1	PSR01062381.hg.1	-1.04163894794721	7.41215852207996e-08	0.000545963182771159
TC11001692.hg.1	TC11001692.hg.1	1.23437370967742	9.56045531208736e-07	0.00120004773423774
TC20001070.hg.1	TC20001070.hg.1	-1.04743574083578	1.1949177223535e-06	0.00130987458984831
TC03002399.hg.1	TC03002399.hg.1	1.14594662939882	2.16763654566038e-06	0.0014558879248534
TC10001971.hg.1	TC10001971.hg.1	1.10991801356305	4.65761168351771e-06	0.00177368806840613
TC08002281.hg.1	TC08002281.hg.1	1.12489971444282	5.82021342634231e-06	0.00191582701861135
TC02002566.hg.1	TC02002566.hg.1	1.03843863782991	9.55759583319254e-06	0.00245734021319768
TC15000882.hg.1	TC15000882.hg.1	1.53121278922287	1.16865733537386e-05	0.00260269687084194
TC02003590.hg.1	TC02003590.hg.1	1.10785977089443	1.16990897729378e-05	0.00260269687084194
TC11002166.hg.1	TC11002166.hg.1	1.06265618035191	1.33721528671518e-05	0.00266507908772821
47422318_st	47422318_st	1.34325247214076	1.36168508835413e-05	0.00266507908772821
3213023_st	3213023_st	-2.15629328189151	1.8498461957918e-05	0.00306236392642782
TC06001639.hg.1	TC06001639.hg.1	1.60719745564516	2.00425708370909e-05	0.00311608336021411
TC10002917.hg.1	TC10002917.hg.1	1.12775590432551	2.10559483596827e-05	0.00316615916027697
TC15001193.hg.1	TC15001193.hg.1	-1.63962970491203	2.1526806470521e-05	0.0032095876801703
TC15000141.hg.1	TC15000141.hg.1	-1.33970479545455	2.35339065956929e-05	0.00332337445837989
3374472_st	3374472_st	-1.83533929288856	2.91513439563277e-05	0.00358368210402112
PSR11017825.hg.1	PSR11017825.hg.1	-1.30229546847508	3.10644404525362e-05	0.00369620184942027
PSR01050374.hg.1	PSR01050374.hg.1	-1.09081028299121	3.14244806634458e-05	0.00371214179200702
3149235_st	3149235_st	-1.70258659897362	3.24118220250531e-05	0.00376598200112025
PSR12027049.hg.1	PSR12027049.hg.1	-1.19857121004399	3.52820319043739e-05	0.00387997022151058
TC06002869.hg.1	TC06002869.hg.1	1.01852084640763	3.90273333590344e-05	0.00400629494975136
PSR0X005129.hg.1	PSR0X005129.hg.1	-1.68939328848974	3.95745776520617e-05	0.00401763353457881
TC20001681.hg.1	TC20001681.hg.1	-1.08594026942816	4.32417124098984e-05	0.00415468022381916
47423997_st	47423997_st	-1.47132865762463	4.36999247414058e-05	0.00417029741886084
TC0X002235.hg.1	TC0X002235.hg.1	-1.49638920674487	4.39763558902901e-05	0.00417970963133548
3343107_st	3343107_st	-1.43084993071848	4.77431777400475e-05	0.00433472500113674
TC11002704.hg.1	TC11002704.hg.1	1.63380714809384	4.94173659021001e-05	0.00441706070407326
TC07000389.hg.1	TC07000389.hg.1	-1.78361201686217	5.47760364669369e-05	0.00453933069301738
TC19002196.hg.1	TC19002196.hg.1	-1.16890940982405	5.66902520168316e-05	0.00462192675489366
PSR11023319.hg.1	PSR11023319.hg.1	-1.62200409274195	6.39157701871118e-05	0.00485214939738994
2835447_st	2835447_st	-1.79800089992669	6.39862022258362e-05	0.00485214939738994
PSR01050376.hg.1	PSR01050376.hg.1	-1.96926429252199	6.41778548727071e-05	0.0048537650802896
TC18000441.hg.1	TC18000441.hg.1	1.08568775989737	6.85338477699408e-05	0.00498269334667993
PSR09020086.hg.1	PSR09020086.hg.1	-1.10136978848973	7.00663674615905e-05	0.00502647823765469
TC11002986.hg.1	TC11002986.hg.1	-1.47551583357771	7.19699260251367e-05	0.0050699547904143
TC19000349.hg.1	TC19000349.hg.1	1.07285608651026	7.4678311291206e-05	0.00514813152217959
TC16000263.hg.1	TC16000263.hg.1	1.19682164589442	8.11105489332643e-05	0.0053129281270257
PSR19002377.hg.1	PSR19002377.hg.1	-1.45116720454545	8.72411091118984e-05	0.00546403617930587
3213021_st	3213021_st	-2.11160677565982	9.41276430549551e-05	0.00561129650986018
TC07000339.hg.1	TC07000339.hg.1	-1.1602554835044	9.46927518518337e-05	0.0056310173065966
PSR02034050.hg.1	PSR02034050.hg.1	-1.34023305131965	9.47778390444275e-05	0.0056310173065966
TC05001505.hg.1	TC05001505.hg.1	-1.15789554472141	9.66629941123308e-05	0.00566919422417889
PSR05013906.hg.1	PSR05013906.hg.1	-1.84826303409091	9.70446370956629e-05	0.00567940978522848
PSR14009930.hg.1	PSR14009930.hg.1	-1.2650421191349	9.98558103580746e-05	0.00577697400646636
PSR05013907.hg.1	PSR05013907.hg.1	-1.82298149743402	0.000103350297550004	0.00581880029245045
TC09002591.hg.1	TC09002591.hg.1	-1.37860110043988	0.000103739871792953	0.00581880029245045
PSR05010494.hg.1	PSR05010494.hg.1	-1.1145347983871	0.00010376551614735	0.00581880029245045
TC13000087.hg.1	TC13000087.hg.1	-1.23967983321115	0.000112914120710944	0.00600342809871728
PSR15011022.hg.1	PSR15011022.hg.1	-1.36354273790323	0.000115465946218814	0.00603227140813488
3437070_st	3437070_st	-1.44725644428152	0.000115466894546383	0.00603227140813488
3145080_st	3145080_st	-1.52782866129032	0.000115475393399488	0.00603227140813488
TC04002521.hg.1	TC04002521.hg.1	-1.09268516715542	0.000116184849696064	0.00604701413661662
PSR01001658.hg.1	PSR01001658.hg.1	-1.36078998900294	0.000116697373522683	0.00604770866959521
PSR17008061.hg.1	PSR17008061.hg.1	-1.21416932881232	0.000117499599267816	0.00604770866959521
PSR01029230.hg.1	PSR01029230.hg.1	-1.53507742485337	0.000118852409635327	0.00605020097658572
PSR18005582.hg.1	PSR18005582.hg.1	-1.33105474376833	0.000119411113154661	0.00605843880072385
PSR18005583.hg.1	PSR18005583.hg.1	-1.19919866092375	0.000120140721044801	0.00606193683065777
TC0Y000058.hg.1	TC0Y000058.hg.1	-2.36300956524927	0.000121637481206636	0.00608698704184369
3374446_st	3374446_st	-1.81700954802053	0.000123510711048498	0.00611997716607342
TC10001778.hg.1	TC10001778.hg.1	1.01955004692082	0.000129260907009015	0.0062352031087529
PSR01038788.hg.1	PSR01038788.hg.1	-1.78026741312317	0.000130831584624069	0.00627775459500537
PSR05010508.hg.1	PSR05010508.hg.1	-1.09991625843108	0.000131471025263098	0.00629018393122756
PSR01050378.hg.1	PSR01050378.hg.1	-1.9059744952346	0.00013646778874158	0.00637678610090607
2839524_st	2839524_st	-1.60257599193549	0.000139646460401062	0.0064531323477041
PSR09016047.hg.1	PSR09016047.hg.1	-1.46713016129034	0.000146136144991629	0.00657371969343193
TC22000405.hg.1	TC22000405.hg.1	1.02817305608504	0.000153366687829529	0.00668780456899574
PSR05025585.hg.1	PSR05025585.hg.1	-1.21841329032259	0.000166136145155416	0.00695336460818717
TC0X000807.hg.1	TC0X000807.hg.1	-1.16172715065983	0.000167345949377635	0.0069595313221205
TC05001001.hg.1	TC05001001.hg.1	-2.19415992155426	0.000169173868691314	0.00699144363065269
PSR05010493.hg.1	PSR05010493.hg.1	-1.42662062683285	0.000169201963096025	0.00699144363065269
TC0X002362.hg.1	TC0X002362.hg.1	1.20243832587976	0.000169314780576995	0.00699144363065269
TC07000399.hg.1	TC07000399.hg.1	-2.05798510667155	0.000169490174051026	0.00699412261240521
TC06004042.hg.1	TC06004042.hg.1	1.58551838196481	0.000169886171567036	0.00699693481174706
PSR03004166.hg.1	PSR03004166.hg.1	-2.03253468658358	0.000170610074576709	0.00701570512499899
PSR0X005162.hg.1	PSR0X005162.hg.1	-1.20691922434018	0.000173808718895533	0.00706750740929019
TC22000381.hg.1	TC22000381.hg.1	1.5742922675953	0.000180960121133526	0.00712554473629238
47420176_st	47420176_st	1.23074177969208	0.000184028793857458	0.00718100170288336
TC0X001984.hg.1	TC0X001984.hg.1	1.06345457551319	0.000185235210269757	0.00718951168621577
TC11003206.hg.1	TC11003206.hg.1	-1.13446475329913	0.000189926709315582	0.00726635574872006
47419722_st	47419722_st	2.97465340249267	0.00019814105019499	0.00736560413079643
PSR07002505.hg.1	PSR07002505.hg.1	-1.34300710813783	0.000199024278029351	0.00736560413079643
PSR22012542.hg.1	PSR22012542.hg.1	-1.28916648826979	0.000201877662874548	0.00738434565295733
3660278_st	3660278_st	-1.75881514662757	0.000202114939557841	0.00738536366965681
TC10002863.hg.1	TC10002863.hg.1	1.42868847214077	0.000203101332732091	0.00738788951591166
PSR17013141.hg.1	PSR17013141.hg.1	-1.72339324230206	0.000204193353896687	0.0074068166187027
PSR06007475.hg.1	PSR06007475.hg.1	-1.6592688973607	0.000207901298150991	0.00746908978578824
PSR01004539.hg.1	PSR01004539.hg.1	-1.3889468680352	0.000227988068102117	0.00765759992965886
PSR06024778.hg.1	PSR06024778.hg.1	-1.84057140652493	0.000229937010932086	0.00765759992965886
TC22000936.hg.1	TC22000936.hg.1	-1.15513641422287	0.000231785022794821	0.00765759992965886
PSR05015351.hg.1	PSR05015351.hg.1	-1.39082567118769	0.000232105677243739	0.00765759992965886
TC19000183.hg.1	TC19000183.hg.1	1.26169503592374	0.000243858642760406	0.00777242893952146
3151639_st	3151639_st	-1.73407231561584	0.000247850279869494	0.00781714905511463
TC03002252.hg.1	TC03002252.hg.1	-1.11955068181819	0.000252266146747101	0.00786856014388273
PSR14009902.hg.1	PSR14009902.hg.1	-1.52794252089444	0.000253154857146931	0.00787625030753808
PSR16011480.hg.1	PSR16011480.hg.1	-1.35171726246335	0.000272149706976917	0.0080796021772629
2909185_st	2909185_st	-1.43890710410558	0.000273109371551949	0.0080960454854805
PSR02024033.hg.1	PSR02024033.hg.1	-1.85393675293256	0.000273360846344861	0.00809669339217918
TC06000466.hg.1	TC06000466.hg.1	1.25816961656891	0.000277496697162383	0.00814496290040419
PSR09016044.hg.1	PSR09016044.hg.1	-1.99574822397362	0.000278332668391447	0.0081609444672669
PSR18005587.hg.1	PSR18005587.hg.1	-1.71613534640762	0.00027955568147273	0.00817714862069735
