GSM2858678	GSM2858682	GSM2858686	GSM2858688	GSM2858690	GSM2858692	GSM2858694	GSM2858699	GSM2858701	GSM2858705	GSM2858707	GSM2858711	GSM2858713	GSM2858716	GSM2858718	GSM2858726	GSM2858727	GSM2858729	GSM2858739	GSM2858742	GSM2858746	GSM2858748	GSM2858749	GSM2858760	GSM2858761	GSM2858766	GSM2858767	GSM2858772	GSM2858780	GSM2858789	GSM2858792
727856	8	9	7	7	8	8	8	5	8	6	7	6	6	6	5	6	6	6	7	6	6	6	6	8	5	9	9	5	6	6	6
731275	19	19	18	19	19	19	17	17	19	18	19	19	19	17	19	20	19	19	19	19	19	18	16	18	19	19	19	19	20	18	18
107126290	11	11	11	10	9	10	12	9	9	9	9	9	12	8	9	10	9	9	10	10	9	8	8	11	9	10	10	10	9	9	10
26683	7	7	6	6	7	7	7	6	7	7	6	5	6	6	6	6	5	5	6	5	6	5	7	7	5	7	8	7	6	6	6
4512	20	20	20	20	20	19	19	16	20	20	20	20	20	18	19	20	18	18	19	20	20	18	18	20	20	20	20	20	20	18	18
105378580	7	7	7	6	6	7	7	6	7	6	6	7	7	6	7	7	6	6	7	7	7	6	7	7	7	6	6	7	7	7	7
400728	6	7	6	6	7	7	6	6	7	6	6	6	6	6	7	7	6	5	7	6	7	7	6	7	6	7	6	5	6	6	7
643837	7	7	7	7	7	7	7	7	7	7	7	6	6	6	6	8	6	6	7	7	7	7	7	7	7	7	7	7	7	6	7
148398	6	5	5	5	6	6	5	6	5	6	5	6	6	6	6	5	6	5	6	5	6	6	5	5	5	5	5	5	6	5	5
339451	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5
84069	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6
9636	6	6	6	5	5	6	6	5	6	6	6	6	5	5	6	6	6	5	6	6	5	5	5	6	6	5	6	6	6	6	6
375790	7	6	7	6	6	6	6	7	6	7	7	7	7	7	7	7	6	7	7	8	7	6	6	7	8	6	6	7	8	7	7
100288175	7	7	6	6	7	7	6	6	6	6	6	6	6	6	6	6	6	7	6	7	6	6	6	7	6	6	6	6	6	6	6
254099	5	5	5	5	5	5	5	5	6	5	5	6	6	5	5	5	5	5	5	5	6	6	5	5	5	5	5	5	5	5	5
406984	5	5	7	6	5	5	5	5	6	5	6	6	6	5	6	5	5	6	6	5	5	5	6	5	7	6	6	5	5	5	6
406983	4	4	5	5	4	5	4	5	5	5	4	5	6	6	5	4	5	5	5	6	5	5	5	4	4	4	4	4	4	4	5
