ANTH.TAX...CARB-ANTH.TAX	id
1	254099
1	254173
1	6339
1	643965
1	63976
1	7161
1	148870
1	1677
1	390992
1	80835
1	102724539
1	50651
1	102724571
1	101929181
1	93611
1	284498
1	943
1	93190
1	65121
1	391002
1	391003
1	343068
1	343070
1	645425
1	440560
1	107984918
1	114827
1	107397391
1	124903857
1	9696
1	100132147
1	29943
1	84966
1	127707
1	5081
1	5322
1	64600
1	127731
1	163933
1	2046
1	100616492
1	284632
1	124900433
1	378807
1	101928303
1	79727
1	105378616
1	4985
1	55116
1	79140
1	149069
1	84734
1	402779
1	127534
1	2707
1	27285
1	127391
1	65243
1	127396
1	2981
1	440584
1	149465
1	4352
1	400752
1	127343
1	100507423
1	100874253
1	107984953
1	200010
1	101929721
1	284546
1	105378732
1	163747
1	199964
1	255738
1	731
1	101926890
1	101926907
1	54596
1	27022
1	100616338
1	149233
1	101927295
1	101927320
1	149047
1	101927412
1	105375358
1	126820
1	1179
1	163351
1	676
1	729987
1	105378872
1	100129138
1	163479
1	284612
1	164153
1	84432
1	27159
1	643355
1	7482
1	6847
1	112840934
1	126868
1	100874270
1	107985194
1	101954272
1	148738
1	284615
1	8515
1	148741
1	100873165
1	100996732
1	23632
1	8416
1	284485
1	353144
1	448834
1	353132
1	101928009
1	4881
1	89872
1	126668
1	339403
1	107985210
1	128229
1	164118
1	60484
1	63827
1	4914
1	149499
1	912
1	909
1	128371
1	26476
1	477
1	480
1	844
1	4807
1	101928372
1	126823
1	84134
1	92235
1	79100
1	149281
1	356
1	101928751
1	60676
1	57795
1	101928778
1	126859
1	148756
1	100287948
1	777
1	388719
1	353299
1	440704
1	56956
1	400800
1	2494
1	2848
1	91156
1	100302158
1	6900
1	9911
1	284576
1	1510
1	29949
1	50604
1	105372894
1	57172
1	149647
1	128153
1	89780
1	677790
1	440730
1	148641
1	100506810
1	88
1	6262
1	339529
1	148823
1	81470
1	391191
1	391192
1	391194
1	26245
1	127066
1	401992
1	100124412
1	7293
1	79906
1	100129534
1	79258
1	100287898
1	440556
1	105376672
1	261734
1	26038
1	54626
1	100422975
1	102725193
1	644997
