GSM2858677	GSM2858679	GSM2858680	GSM2858681	GSM2858683	GSM2858684	GSM2858685	GSM2858687	GSM2858689	GSM2858691	GSM2858693	GSM2858695	GSM2858696	GSM2858697	GSM2858698	GSM2858700	GSM2858702	GSM2858703	GSM2858704	GSM2858706	GSM2858708	GSM2858709	GSM2858710	GSM2858712	GSM2858714	GSM2858715	GSM2858717	GSM2858719	GSM2858720	GSM2858721	GSM2858722	GSM2858723	GSM2858724	GSM2858725	GSM2858728	GSM2858730	GSM2858731	GSM2858732	GSM2858733	GSM2858734	GSM2858735	GSM2858736	GSM2858737	GSM2858738	GSM2858740	GSM2858741	GSM2858743	GSM2858744	GSM2858745	GSM2858747	GSM2858750	GSM2858751	GSM2858752	GSM2858753	GSM2858754	GSM2858755	GSM2858756	GSM2858757	GSM2858758	GSM2858759	GSM2858762	GSM2858763	GSM2858764	GSM2858765	GSM2858768	GSM2858769	GSM2858770	GSM2858771	GSM2858773	GSM2858774	GSM2858775	GSM2858776	GSM2858777	GSM2858778	GSM2858779	GSM2858781	GSM2858782	GSM2858783	GSM2858784	GSM2858785	GSM2858786	GSM2858787	GSM2858788	GSM2858790	GSM2858791	GSM2858793	GSM2858794	GSM2858795
727856	5	5	9	9	6	7	5	6	5	6	6	6	7	6	6	7	8	6	6	6	6	6	8	7	7	6	5	6	6	7	6	8	6	6	6	7	6	8	5	7	5	7	5	6	9	6	6	9	5	6	6	6	6	6	6	6	9	6	6	6	8	8	8	6	6	6	6	6	6	6	6	5	6	5	6	6	6	7	6	5	6	6	6	6	6	6	6	6
731275	19	19	19	19	18	16	20	20	20	19	20	19	17	20	20	19	20	16	17	20	19	18	20	18	19	19	19	19	19	19	19	18	19	19	19	19	18	18	17	18	18	18	20	19	19	20	18	19	19	19	18	20	19	18	19	19	19	19	19	19	19	17	19	18	17	20	19	19	19	19	20	19	19	18	19	19	19	19	20	17	17	17	19	19	16	20	19	19
107126290	10	9	13	14	9	10	9	10	10	8	9	9	9	10	10	10	10	7	6	8	10	9	12	9	12	8	9	9	9	9	8	13	8	10	9	9	9	13	8	10	8	9	11	10	10	8	8	10	10	10	7	9	10	10	10	10	12	9	9	8	10	10	11	8	9	11	10	10	10	11	10	9	10	9	11	10	9	9	10	7	8	10	11	8	7	9	8	10
26683	7	7	7	6	6	7	6	7	6	6	7	7	6	6	6	7	7	5	6	7	6	7	7	6	9	6	6	7	5	7	6	6	6	5	6	7	6	7	5	7	6	6	5	7	7	6	6	8	7	7	5	6	6	6	6	6	9	7	6	6	7	7	7	7	6	7	6	6	6	5	6	6	8	6	6	7	7	6	7	6	5	7	6	7	6	6	6	6
4512	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	16	20	20	16	20	19	17	20	15	20	19	20	20	20	20	17	20	20	20	20	17	19	20	20	20	20	20	20	20	19	20	20	20	20	18	20	20	19	20	20	20	20	20	18	19	20	20	19	20	19	19	18	20	19	20	20	19	20
105378580	6	7	7	7	7	7	7	7	7	7	7	7	6	7	7	6	7	7	7	7	7	7	7	6	7	6	6	6	6	6	6	6	7	6	7	7	6	7	6	7	6	7	6	6	7	7	6	6	7	7	6	7	7	7	8	7	7	7	7	6	7	7	7	7	6	7	7	7	7	8	7	7	6	7	7	7	8	7	7	6	7	7	7	7	7	7	7	7
400728	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	7	7	7	6	6	6	6	6	7	6	6	6	6	7	7	7	6	6	6	7	7	6	6	6	6	6	5	6	6	7	7	7	6	6	7	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
643837	7	7	7	7	6	7	7	6	7	7	6	6	6	6	7	7	7	6	6	7	6	7	7	7	7	6	6	7	6	7	7	7	7	7	7	7	7	7	6	7	6	7	7	7	7	7	7	8	7	7	6	6	7	7	7	7	8	7	7	7	7	7	7	7	6	7	7	7	7	7	8	7	7	7	7	7	7	7	7	6	6	7	7	7	6	7	7	7
148398	6	6	5	5	5	5	6	5	5	6	5	5	6	5	5	6	5	6	5	5	5	5	5	5	6	6	5	5	6	5	6	5	6	6	5	5	5	5	6	5	6	6	5	5	5	5	5	6	5	6	5	5	6	5	5	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	5	5	5	5	6	5
339451	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5
84069	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
9636	6	6	6	5	7	6	6	6	5	6	6	6	6	6	6	6	6	5	6	7	6	6	7	6	6	7	6	5	6	6	6	6	6	6	6	6	6	6	6	6	5	6	5	6	6	6	6	5	6	6	6	6	5	6	6	6	6	6	6	7	6	6	6	6	6	6	5	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6
375790	6	7	6	6	7	7	7	7	7	8	7	7	7	7	7	7	6	6	6	7	7	6	7	7	6	6	7	7	8	7	7	6	7	7	7	6	6	6	7	7	6	6	6	7	6	8	7	6	8	7	6	7	8	6	7	7	7	7	7	7	7	7	7	6	6	7	7	8	7	7	8	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	8
100288175	7	7	6	7	6	7	6	6	6	6	6	6	7	6	6	6	7	6	7	7	6	7	6	6	6	6	6	6	6	6	7	7	6	7	6	6	7	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	7	6	6	6
254099	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	4	5	5	5	5	6	5	5	5	5	5	5	6	5	5	5	5	6	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
406984	6	5	5	6	5	6	6	5	6	5	6	5	6	5	5	6	5	5	6	6	7	6	5	5	6	6	5	5	7	5	5	6	5	5	5	5	5	5	5	5	6	5	5	5	6	6	5	6	6	5	6	5	7	5	5	5	6	6	5	5	5	6	6	5	5	6	5	6	5	5	5	5	5	5	5	6	5	5	6	5	5	6	5	5	6	5	5	6
406983	5	5	4	4	5	5	5	5	5	6	5	4	6	5	5	5	4	6	5	6	5	5	4	4	4	5	5	5	5	4	5	5	4	5	4	4	5	4	6	4	5	4	5	4	4	5	4	4	4	4	5	4	6	4	4	4	4	5	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	5	4	4	4	4	4	5	5	5	4	5	5	4	4	4
254173	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
126792	5	5	4	4	5	5	6	5	5	5	5	5	5	5	4	5	5	5	4	5	5	5	5	5	4	5	5	4	4	5	4	5	5	5	4	5	4	5	5	5	5	5	4	5	4	6	5	4	5	5	4	5	5	5	6	5	5	6	5	5	5	4	5	5	5	5	5	5	5	5	5	6	5	5	5	5	6	6	5	5	5	5	5	5	5	5	5	5
6339	5	5	6	5	5	6	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	6	6	5	6	5	5	5	6	5	5	5	5	6	6	5	5	5	5	5	5	6	5	5	6	5	5	5	5	6	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
126789	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
80772	6	6	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	5	5	7	6	5	6	5	5	6	6	6	5	5	6	5	6	6	5	6	5	5	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	5	7	6	6	6	5	5	6	6	6	6	6	6	6	6	6	5	6	6	5	6	6	6	6	6	6	6	5	6	6	6	6
83756	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	6	5	5	5	5	6	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5
148413	6	6	6	6	6	6	7	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	7	6	6	6	6	6	6	6	6	6	6
643965	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	7	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
64856	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	6	5	6	5	6	6	5	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
219293	6	7	6	6	6	7	7	6	7	10	6	8	6	6	7	7	6	6	6	9	7	6	7	6	7	6	6	6	7	6	6	6	6	7	6	7	6	7	7	6	6	8	6	8	6	8	7	6	7	7	7	7	9	7	8	7	8	7	7	6	7	6	7	7	6	8	6	9	7	8	6	7	6	8	6	6	7	7	8	7	6	6	7	8	6	6	6	7
83858	7	7	7	6	7	7	8	7	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	8	8	7	7	8	8	8	7	7	7	7	7	7	7	7	8	7	7	7	7	6	8	7	7	7	8	7	7	7	7	7	7	7	7	7	7
55210	7	7	6	6	7	7	8	7	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	8	6	7	7	7	7	8	7	7	7	8	7	6	7	7	7	8	8	8	7	8	8	8	8	7	7	7	7	7	7	7	7	8	7	8	8	7	7	8	7	7	8	8	8	7	6	7	7	7	7	7	7	8
142678	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
8510	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5
105378949	5	5	5	5	5	6	5	6	5	6	5	6	5	6	5	5	6	5	5	5	5	6	5	5	6	6	5	5	5	6	6	5	6	5	5	6	5	6	6	6	5	5	5	5	6	6	5	6	5	6	6	5	5	5	5	6	5	5	5	5	5	5	6	6	6	5	5	5	5	5	6	5	5	5	5	5	5	6	5	6	6	5	6	5	6	5	5	5
163688	6	6	6	6	5	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	7	5	6	6	6	6	5	5	5	6	5	5	6	6	6	6	6	6	6	5	6	5	6	5	5	5	6	6	5	5	6	6	6	6	6	6	6	6	5	6	5
2563	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
6497	7	8	7	7	8	7	8	8	8	8	8	8	7	8	7	8	7	7	7	8	8	7	7	7	7	7	8	7	8	7	7	7	8	7	7	8	8	7	7	7	7	7	8	7	7	8	7	7	8	8	8	8	8	7	8	8	7	9	8	8	8	7	7	8	8	7	8	8	8	7	8	8	8	8	8	8	9	8	8	8	8	8	8	8	8	8	8	8
11079	7	9	7	6	7	7	8	8	8	7	8	8	7	8	7	7	7	7	7	8	7	7	8	7	7	7	7	7	8	8	7	7	8	7	7	8	7	7	7	7	7	7	8	7	7	8	8	6	8	8	7	8	8	8	9	8	7	8	8	7	7	7	7	7	8	7	9	9	8	8	9	8	8	8	9	8	8	7	8	7	7	7	7	8	7	8	8	8
9651	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	5	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
8764	7	7	6	6	6	6	6	6	7	6	7	6	6	6	6	6	6	6	6	7	6	6	8	6	6	7	6	6	7	6	6	6	6	6	6	7	6	6	6	7	7	6	6	6	6	7	6	6	6	6	6	6	6	7	6	6	6	6	6	7	7	6	6	6	7	6	7	7	6	6	6	7	6	7	6	6	6	6	6	6	7	6	7	7	6	7	6	7
127281	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
