ME0	ME1	ME2	ME3	ME4	ME5	ME6	ME7	ME8	ME9	ME10	ME11	ME12	ME13	ME14	ME15	ME16	ME17	ME18	ME19	ME20	ME21	ME22	ME23	ME24	ME25	ME26	ME27	ME28	ME29	ME30	ME31	ME32	ME33	ME34	ME35	ME36	ME37	ME38	ME39	ME40	ME41	ME42	ME43	ME44	ME45	ME46	ME47	ME48	ME49	ME50	ME51	ME52
GSM2858678	-0.0567503608564296	-0.0646320951917695	0.0166437987800361	0.09857475902564	-0.0324824778612569	-0.0267385598883571	0.00350719807136498	-0.0480723116925894	-0.0551067565154919	-0.0126959495691278	-0.0592931699399529	-0.0484584174359576	-0.0547514759343805	-0.067790290139711	-0.0706858244129319	-0.0202751040200187	-0.0350396688590047	-0.0427268186962292	-0.0535925343344604	-0.0114295680395406	0.0215319423546623	-0.0443618034282572	0.0178247500349886	0.000576516517021991	0.0340000606939109	-0.000939442160078765	-0.045364938137094	-0.0353712251011155	-0.0711710053144523	-0.0653017025186945	-0.0644583480659732	-0.0691191978969465	-0.0277664897123155	-0.00485519999134377	0.0182598301604185	0.0409265153814945	-0.0615135491872842	0.0628595384901375	-0.0436545454076259	-0.0706807637340894	-0.0478999938894735	-0.0727918040621297	0.0438959286256251	0.0202290980582464	-0.0517632921726955	-0.0346666661219521	-0.0405215318355706	-0.0305888345669467	0.0439900017477983	-0.0220838336071764	0.963985025476127	0.0233247855928304	-0.0374775394662006
GSM2858686	-0.0906355412068539	-0.0493459417092482	0.0313638704674367	-0.0232120929230989	-0.125900208969782	-0.0416034571653708	0.0175374951809331	-0.019559890067808	-0.0726363523671267	-0.0176901887563214	0.0331982484525726	-0.0491775187802129	-0.0312383855414075	-0.0779989011685491	-0.0631477707310316	-0.054534178152951	-0.0224653521518022	-0.0629358390429382	-0.0168066803486199	-0.0397838534187727	0.0156360038934041	-0.0208402170908518	0.0825375967212723	0.00308549729512424	0.0484995790044471	0.0115100464226067	-0.0413012204879797	-0.0382163866097127	-0.0600854346551335	-0.0530859303407195	0.0135705925402723	0.00595914765162187	-0.00350628141900722	0.969085697241409	0.0256206629912048	0.070937514890025	-0.0872708747811486	0.00852751157375864	-0.0513087355237112	-0.0218523909840119	-0.093712304422493	-0.0534916380870661	0.0519433555469884	0.00953187258915381	-0.0187385315800726	-0.0626196109650229	-0.0859373020637454	-0.0230729327922818	0.0494804326969511	0.0806041705752389	-0.00860358018984506	0.0314426237610958	-0.0747924223358217
GSM2858688	0.0884348676993046	-0.112086302960034	0.079586284776204	0.187736485470751	-0.0733174539377642	-0.037014842844349	0.0260799210726388	-0.0185074679325317	-0.0667309305439904	-0.0550727393912756	-0.0236286405920751	0.0109725046992534	-0.0595928408153427	-0.0372091622183451	-0.0144709547059539	-0.0426663236279227	-0.0360162160251353	-0.0288850258664012	-0.0705108724818844	-0.00682491862315375	0.0391718001933031	-0.0446405906040473	0.0344291128196962	0.0270897596818844	0.030598780753271	0.0131614541899778	-0.0233563460043596	-0.0414826206745507	0.0494719869861729	-0.0659317423804336	-0.0188038228094052	-0.0633341384594103	-0.0114382796542137	-0.0596513306844733	0.0307554274308846	-0.00424998612766803	-0.00604449888004173	-0.049462903712116	-0.0555413541419782	-0.0673267092064608	-0.0421142215153096	0.0817426516811863	0.0438959286256255	0.0202290980582458	-0.0361970293174534	-0.0512463192176205	-0.0654812087328914	-0.964954053812159	0.0439900017477983	0.967286616142823	-0.0478341930372749	-0.000808176742059998	-0.0798673717788688
GSM2858692	0.234027491033293	-0.16431278949234	0.137620227481446	0.217709528305596	-0.0484253198094993	-0.0514000720533507	0.0229873953997932	-0.0392282095610749	-0.0114545955565622	-0.0709569154760004	-0.0960435889183368	0.00714073226856982	-0.0596916397407903	-0.0825506191528606	0.0714887573745192	-0.0609815321924957	-0.0592982199507709	-0.0467983591230513	-0.0718380875658472	-0.0580399556447283	0.0168239229177291	-0.0519428817797027	0.0354922315703847	0.136975826623518	0.0242136467975054	0.0272369043007037	-0.048808033175529	-0.0748850861456487	-0.0597139125043194	-0.0104185342313884	-0.0613173936929589	-0.0691191978969465	-0.05123315197245	-0.0609909002992082	0.00641450977739404	0.055091505842107	0.671478762312869	-0.0945485137821155	0.96818396625506	-0.0977484711481768	-0.0427292399039638	0.446999891155281	0.00959020333683878	0.0202290980582458	-0.0517632921726953	-0.060626401301233	-0.0653941764805132	-0.00125903718739205	0.0622573832773833	0.00710984524865324	-0.0614253710477519	0.0233247855928297	-0.0461345847374129
GSM2858694	0.214507041206548	-0.0672921744445767	0.117844466281818	0.240103669906957	-0.0867266185734274	-0.037586075671717	0.0364568415856296	-0.0489244570128275	-0.00224587686034664	-0.0457465000241571	-0.0681931539056452	-0.0387884228563947	-0.0510014224636013	-0.0243782633079656	0.0690322959038566	-0.0533699477129353	-0.0426949700861263	0.042978122107844	-0.0530674005191006	-0.057501393135358	0.0636982494141476	0.0223172628263606	0.0905723631910492	0.0431620336305566	0.0556874476775868	0.0661183517292163	-0.0277391838342039	-0.0544786675732908	-0.0445416697430707	-0.0232828816184237	-0.0512077941444947	-0.0428941137129793	-0.0366745292145518	-0.0117658799602786	0.0429116691868495	0.0117373387094618	0.00737995963772858	-0.0707604917567993	0.0155533070304398	-0.0843267617787336	-0.0313007138551869	0.162985428037423	0.0300822801214375	0.0369357254383807	-0.0626140010940829	-0.0165964612548648	-0.024671075657152	0.0243518433901481	0.0807239980576587	-0.0319944254495543	-0.0415537280413104	0.0505118776471047	-0.0628710835037127
GSM2858699	0.130729462195246	-0.142284297533494	0.130454194483892	-0.107720409595426	-0.0655340158427158	-0.0286257720170679	0.0858503783054195	-0.0413652667358631	-0.0546352207100212	-0.0588677017024168	-0.0606627363628523	-0.0549191091928297	-0.064756334937466	0.961403293712501	-0.085919094406788	-0.0960143228394128	-0.0323216694654554	0.0304887820708437	0.087493277550043	-0.052349768746653	0.0616143856722157	-0.0588455824021657	0.0252511980152426	0.0787225926746172	0.0700782117633254	0.0180953516991469	-0.0419725868705845	-0.0553083853821102	-0.0506594553357929	-0.0298735500182366	-0.0599332468764723	-0.032132987158209	-0.0454854731233223	0.00513132895770163	0.0182598301604185	0.0409265153814945	-0.080117367314583	-0.100924765426889	0.0523515687329375	-0.0387879241253694	-0.0478999938894735	-0.0642188729635062	-0.922212946321994	0.0202290980582458	-0.0671302411448492	-0.0597528373791378	-0.0604140266896818	0.0182348431063882	0.035608406200388	-0.0538960751741819	0.0321796180119881	0.0233247855928297	-0.0326816900854593
GSM2858701	0.046373206423556	-0.0972308445706264	0.0617753988188956	0.196872815514197	-0.0287183129356285	-0.0541640678561681	0.00762203994265809	-0.0414882171089793	-0.0631356253741435	-0.0792559165125323	-0.0766700052165422	-0.0466638588844781	-0.0617482706730294	-0.0821460395896204	-0.0581665943393073	-0.09182651344882	-0.0595601073620267	-0.0533173166823953	-0.07900454392017	-0.0809642243340062	-0.000914430163456586	-0.0662395105910103	0.0228950448567176	0.0275814606399287	0.0314868190591957	0.0131614541899779	-0.0467940690667769	-0.0695138053765551	-0.0667024616681444	-0.05215110855621	-0.0456298662478828	-0.0728852313071547	-0.045991838110689	-0.0599969579129134	0.0182598301604185	0.0409265153814945	-0.045491781629169	-0.0847737152571045	-0.0502965282903481	-0.0574288674771604	0.0173272245315265	-0.083474182849054	0.0322262345813793	0.0202290980582458	-0.0671302411448492	-0.0597528373791378	0.0320215994211049	-0.00180231309383265	0.0439900017477983	-0.051787527320536	-0.0785413003293013	0.0233247855928297	-0.10273861738277
GSM2858705	-0.0190403484890302	-0.0245986170316203	0.0512383178661907	-0.054092069930529	0.0349356390576426	-0.0584478399390676	0.0259945154690777	-0.0460141416196129	-0.0390620550176193	0.00229572117944636	-0.0361371559764209	-0.0527267218151587	-0.0208628309462282	-0.062056185322772	-0.0816963032293126	-0.0191327991533176	-0.0258917304404892	-0.0353902062506899	-0.0393280323159	0.957984280502463	0.0247368526684827	0.0427639231036165	0.035444786947412	0.0298880473332178	0.0457297593568882	0.025667432564795	-0.0495453465567616	-0.0209696139643197	-0.0212111394511597	-0.0235490391639037	-0.013728447123302	-0.041831982777054	-0.0286491974205337	-0.0532289556551249	0.0530056094783732	0.0491696853669132	-0.0677465410228275	-0.0805296778987333	-0.0325954611088995	-0.0274587679329424	-0.0331803383516372	-0.101837151618968	0.0341829430279182	0.0418731902705383	-0.0489798890229719	0.0443185088723237	0.0156852206355612	0.0568541270747338	0.0565442775960131	-0.0434693125310776	-0.0202515326222967	0.0426769567449372	0.186896868053833
GSM2858713	0.165833108574518	-0.159519050926427	0.131339188908372	0.112078155753131	-0.100065837209875	-0.0574531744911465	0.0751877751792521	-0.0529736143670757	-0.0308565383258895	-0.0810742645843163	-0.0717883518200903	-0.0704164637973892	-0.0433536105106526	0.0650757368508723	-0.0787388020620961	-0.089888002511227	-0.04880164383157	-0.0522774718144674	0.10455371763192	-0.0530420345544248	0.0278399700166294	-0.0576996908753869	0.0311120964463674	0.019033561328623	0.0863870882714579	0.0406992435306225	-0.017832460716527	-0.0660042752177461	-0.0496201050263125	-0.051047098061714	-0.0712974535775024	0.061585960088678	-0.0736901979702125	-0.0609909002992082	0.0182598301604185	0.0419027658549142	-0.0917519843496815	-0.100805571832542	0.0122974070749275	-0.0357010003064236	0.0361139270833767	-0.0366179357379054	0.0014524410058272	0.0202290980582458	-0.036137844637475	-0.0434898408333403	-0.0449721306604222	0.0468259094395874	0.0439900017477983	-0.0388349372958848	-0.055584042369356	0.0233247855928297	-0.0798673717788688
GSM2858726	-0.263368682277444	0.282798616891956	-0.29456277034147	-0.185462640286658	0.916168498167901	-0.0148232798898447	0.0467458876426375	-0.100725451064972	-0.0613883188819344	-0.0447875172072211	-0.120018916159762	-0.0340723531316485	-0.0628470733849577	-0.0568348562274222	-0.0460973870989428	0.615712793607986	-0.0359133000603747	-0.0693974633080823	-0.0606855409925123	-0.0316600068066969	-0.973044868793431	-0.0857519321960156	-0.692507378352375	-0.096004579818614	-0.640906659147927	0.0662672948964955	-0.085844757150165	0.0391822171792635	-0.0221138092490069	-0.0149842641688386	-0.0553332842182172	-0.0224510465705953	-0.0231509376574938	0.00698823464835122	0.0558934931052865	0.0967569046557268	-0.0664178079834507	-0.00571509185095768	-0.0766580570942508	0.0524490601222655	-0.0337208396636744	-0.080995410880091	0.13555026641837	0.0536799366681654	-0.137835395397258	0.0243925822796427	-0.00827835382683062	0.0580801722550187	-0.67122519757437	-0.0688747350396978	-0.0338085787922275	0.100043754473558	-0.106771810793648
