A	B	correlation	p-value
ME33	ME33	1	1.2842197607712e-221
ME49	ME33	0.0636811109759028	0.73360298135428
ME31	ME33	0.0121479122818417	0.94828587375683
ME43	ME33	0.0154989365667201	0.934047920871534
ME47	ME33	0.0160430017472625	0.931738047186884
ME12	ME33	0.00515502012049971	0.978042933586925
ME4	ME33	-0.0632911545413513	0.735175998653316
ME15	ME33	0.013820275104448	0.941178052074033
ME16	ME33	0.00404220469572461	0.982782017824858
ME7	ME33	0.0132476351707948	0.943611395165985
ME10	ME33	0.0775630730798869	0.678338087684684
ME30	ME33	0.0335646689924393	0.857740835112816
ME37	ME33	0.0628039327024112	0.737142846649825
ME42	ME33	0.0334798560143716	0.858096684331019
ME26	ME33	-0.000685064093892426	0.997081725288571
ME44	ME33	0.0505632248858103	0.787061936779904
ME39	ME33	0.021179064540183	0.909961836323127
ME27	ME33	0.0251825733270437	0.893031030816939
ME1	ME33	0.0531327326288266	0.776506878179373
ME5	ME33	0.0238392784974792	0.898707037635394
ME9	ME33	0.0864296349074665	0.643858127898557
ME11	ME33	-0.105048363570346	0.573837349271821
ME52	ME33	-0.059068937346784	0.752273878200402
ME19	ME33	-0.0409728150247356	0.826771605122241
ME50	ME33	0.0376992243022736	0.840428006868204
ME51	ME33	0.0668938884151695	0.720684010904122
treat_Ctrl	ME33	-0.275390243699724	0.133753079296925
ME46	ME33	-0.10119006573646	0.588064175971214
ME13	ME33	-0.0374943949868663	0.841284048094785
ME18	ME33	-0.00815889730024123	0.965254603811757
ME29	ME33	-0.0901916130379992	0.629440183485504
ME32	ME33	-0.0109090658076595	0.953553723128848
ME34	ME33	0.0088747232393658	0.962208268023188
ME45	ME33	-0.0670276809132801	0.720147621203762
ME21	ME33	-0.00869025140475197	0.96299327531847
treat_Treat	ME33	0.275390243699724	0.133753079296925
ME40	ME33	-0.0880601700314114	0.637593039234931
ME24	ME33	-0.00586491719493579	0.975020108467237
ME25	ME33	-0.00776751174044371	0.966920426636834
ME35	ME33	0.0388448369710235	0.835643480050224
ME38	ME33	-0.073702705693635	0.69355700584351
ME14	ME33	-0.143224463580249	0.442103803791884
ME41	ME33	-0.132340236391459	0.477896168470747
ME17	ME33	-0.0990554636403872	0.596000890580626
ME36	ME33	-0.134601517107006	0.470338956225971
ME20	ME33	-0.0139278686314728	0.940720907730825
ME48	ME33	0.00456529926615201	0.980554263141896
ME3	ME33	-0.135042143164408	0.468873696300164
ME0	ME33	-0.196504543451872	0.289370492715289
ME2	ME33	-0.0621421836507176	0.739816848721734
ME22	ME33	0.0213678214980955	0.909162655801168
ME6	ME33	-0.0364520430095837	0.84564307433062
ME23	ME33	-0.0604538399756611	0.746652567148832
ME8	ME33	-0.081186578395094	0.664165027712999
ME28	ME33	-0.0745342370616968	0.690268664472854
ME33	ME49	0.0636811109759028	0.73360298135428
ME49	ME49	1	1.55017652127766e-228
ME31	ME49	-0.0419570343625244	0.822675244341805
ME43	ME49	0.014125961273335	0.93987929842499
ME47	ME49	-0.960467765736311	1.1977216061306e-17
ME12	ME49	7.7788174356809e-05	0.999668632851532
ME4	ME49	-0.0911719215243153	0.625704701662152
ME15	ME49	-0.0133448762737498	0.94319814870266
ME16	ME49	-0.0188065788858233	0.920013843251259
ME7	ME49	0.0410511568739455	0.82644537807042
ME10	ME49	0.0476899239116761	0.798908879214888
ME30	ME49	0.0225694760966294	0.904077028175074
ME37	ME49	0.0258733065723577	0.890114382882975
ME42	ME49	0.0760122650439309	0.684437394289853
ME26	ME49	-0.0503859784323009	0.787791423426161
ME44	ME49	-0.0191938333405455	0.918372213286014
ME39	ME49	-0.0436894776356972	0.815475916901691
ME27	ME49	-0.00172321579019445	0.992659430656937
ME1	ME49	-0.0502215883409929	0.788468155277313
ME5	ME49	0.0119095461445587	0.949299299745517
ME9	ME49	-0.00958204379953856	0.959198641597884
ME11	ME49	-0.0191490276628928	0.918562134569428
ME52	ME49	-0.0912955052514111	0.625234426626195
ME19	ME49	-0.00383661210218287	0.98365763110563
ME50	ME49	-0.0243340403619283	0.896615866912878
ME51	ME49	0.0319391057741132	0.864565887378715
treat_Ctrl	ME49	0.113882698613588	0.54185839521004
ME46	ME49	-0.0744493389238267	0.690604146793012
ME13	ME49	-0.0639620309914231	0.732470453913736
