ME0	ME1	ME2	ME3	ME4	ME5	ME6	ME7	ME8	ME9	ME10	ME11
GSM2858677	0.0266008789810085	-0.0324603452440871	0.0520106826788267	0.00495622003969225	-0.0183466253106628	-0.120500516780661	-0.0399163342437745	-0.0455569806403734	0.14328083482464	-0.0135859839936103	-0.0406318039163519	0.0989733127083214
GSM2858679	0.0318445176864321	-0.0158744950724594	0.0578787931550367	-0.0504913166968676	-0.000895067037942288	0.0778311171117515	-0.027904846799529	-0.037319030636966	-0.0843432247593508	-0.0188356364938092	-0.0286469658287824	-0.0789174295122236
GSM2858681	0.188001943105757	-0.177430490378362	0.164335427975756	0.279615629606948	-0.0970116400320276	-0.168973362321073	-0.0578605068725201	0.0337357951350649	-0.123236002274553	-0.0489831724891249	-0.0585361646018347	-0.034955475731426
GSM2858684	0.148880539408373	-0.154390012686166	0.0953363166955586	0.16116739174754	-0.137031385558628	-0.0822414517473921	-0.014044079169416	0.00543483226758692	-0.110185758518434	-0.00659743679173437	-0.033666692600129	-0.107193005628405
GSM2858685	0.056314828263798	-0.0413862745577311	0.0596852207286894	-0.0417609510252466	-0.176005728037533	-0.165640407727083	-0.0268217120805625	-0.0232835677362958	0.0618760583689931	-0.00047645186326904	-0.0275662342129776	-0.0965314931278754
GSM2858687	-0.0559912410071709	0.072317442038715	-0.00679261324948991	-0.0812917311661505	0.0859034707807147	0.112728447764412	-0.0163858822376509	-0.028506704140284	-0.0381957941714781	0.0113027775424591	-0.0429675011296713	0.127710486841136
GSM2858689	-0.0118272575775605	0.00969873707501141	0.0387212099570526	-0.0642120463350104	0.00812760632477354	0.0283608525215945	-0.0362248085003051	-0.0365761742918862	-0.0315219602960383	-0.000476451863269059	-0.0275662342129776	0.033106444421017
GSM2858691	0.0336147520050692	-0.0354929012992492	0.0521077166037552	-0.023154000410591	-0.0845225088595713	-0.0194616188547963	-0.0160502968951938	-0.0291887145642794	-0.0326995025468742	0.0103072280094151	-0.0168187170907348	-0.0856345049992002
GSM2858693	0.0133128449342966	-0.00680655440326292	0.052803384423108	-0.0565706375094462	0.129205264157035	0.0785042112751055	-0.0192760212881994	-0.0409428649598325	0.00162268168975123	0.00707783070060732	-0.0200372847115016	0.0910084426118853
GSM2858695	-0.0454853903074562	0.0546906837654039	0.00976084966655508	-0.00901984046677128	0.183496245739604	-0.0422037193228321	-0.02506683917515	-0.0353726135069103	0.109631233717152	0.00128041919810458	-0.0258152547665721	0.371983401296792
