treat_Ctrl	treat_Treat
GSM2858677	1	0
GSM2858679	1	0
GSM2858681	0	1
GSM2858684	1	0
GSM2858685	0	1
GSM2858687	1	0
GSM2858689	1	0
GSM2858691	1	0
GSM2858693	1	0
GSM2858695	1	0
GSM2858696	1	0
GSM2858698	1	0
GSM2858700	1	0
GSM2858703	0	1
GSM2858708	1	0
GSM2858709	1	0
GSM2858710	0	1
GSM2858714	1	0
GSM2858715	0	1
GSM2858717	0	1
GSM2858720	1	0
GSM2858721	1	0
GSM2858723	1	0
GSM2858724	0	1
GSM2858725	1	0
GSM2858733	1	0
GSM2858737	1	0
GSM2858738	0	1
GSM2858740	1	0
GSM2858741	1	0
GSM2858745	0	1
GSM2858747	1	0
GSM2858750	1	0
GSM2858751	1	0
GSM2858753	0	1
GSM2858755	0	1
GSM2858756	0	1
GSM2858758	0	1
GSM2858759	1	0
GSM2858763	0	1
GSM2858764	0	1
GSM2858768	0	1
GSM2858769	1	0
GSM2858771	1	0
GSM2858774	1	0
GSM2858776	1	0
GSM2858779	0	1
GSM2858781	0	1
GSM2858782	1	0
GSM2858783	1	0
GSM2858786	1	0
GSM2858787	1	0
GSM2858680	0	1
GSM2858683	1	0
GSM2858697	0	1
GSM2858702	1	0
GSM2858704	1	0
GSM2858706	0	1
GSM2858712	1	0
GSM2858719	1	0
GSM2858722	0	1
GSM2858728	1	0
GSM2858730	1	0
GSM2858731	0	1
GSM2858732	1	0
GSM2858734	1	0
GSM2858735	0	1
GSM2858736	1	0
GSM2858743	0	1
GSM2858744	1	0
GSM2858752	0	1
GSM2858754	1	0
GSM2858757	0	1
GSM2858762	0	1
GSM2858765	1	0
GSM2858770	1	0
GSM2858773	1	0
GSM2858775	1	0
GSM2858777	0	1
GSM2858778	0	1
GSM2858784	1	0
GSM2858785	1	0
GSM2858788	0	1
GSM2858790	0	1
GSM2858791	0	1
GSM2858793	0	1
GSM2858794	0	1
GSM2858795	0	1
