A	B	correlation	p-value
treat_Ctrl	treat_Ctrl	1	0
ME10	treat_Ctrl	0.0772326419827476	0.474475261025394
ME3	treat_Ctrl	-0.00213558776094563	0.984245068267245
ME0	treat_Ctrl	0.043056313670479	0.690398962381791
ME2	treat_Ctrl	-0.00164611532447241	0.987855752361176
ME6	treat_Ctrl	0.104718962296419	0.331559258477048
ME7	treat_Ctrl	0.100279860935585	0.352576152129563
ME5	treat_Ctrl	-0.0883404415864813	0.413094803571707
ME1	treat_Ctrl	-0.0255539700912969	0.813177755920525
ME8	treat_Ctrl	-0.0219510942371068	0.839135293739653
ME4	treat_Ctrl	-0.0746546098735894	0.48939307411088
ME11	treat_Ctrl	0.0251589962576137	0.816014129903079
ME9	treat_Ctrl	-0.0719104308689584	0.505540828080443
treat_Treat	treat_Ctrl	-1	0
treat_Ctrl	ME10	0.0772326419827476	0.474475261025394
ME10	ME10	1	0
ME3	ME10	0.126124180213169	0.241632808942112
ME0	ME10	0.0908627803168327	0.399830205813463
ME2	ME10	0.0317270186078798	0.7691826725458
ME6	ME10	-0.10306492164937	0.339295397928343
ME7	ME10	0.607996163111901	3.335921796551e-10
ME5	ME10	-0.12155664077827	0.25924073883701
ME1	ME10	-0.0999972257826593	0.353941741972948
ME8	ME10	-0.0557382315345021	0.605996843997524
ME4	ME10	-0.105197904621423	0.329340274626905
ME11	ME10	-0.0492661289390127	0.648514981847585
ME9	ME10	-0.0348371770578993	0.747280865580828
treat_Treat	ME10	-0.0772326419827476	0.474475261025394
treat_Ctrl	ME3	-0.00213558776094563	0.984245068267245
ME10	ME3	0.126124180213169	0.241632808942112
ME3	ME3	1	0
ME0	ME3	0.788326225988233	7.81013793938012e-20
ME2	ME3	0.672745262717363	7.03677435509175e-13
ME6	ME3	0.280618356248667	0.00809141765059738
ME7	ME3	0.551291334343235	2.60418237112522e-08
ME5	ME3	-0.530961263329871	1.02805000931896e-07
ME1	ME3	-0.799102382660871	1.05534298354902e-20
ME8	ME3	-0.565212981299424	9.63411920806105e-09
ME4	ME3	-0.565552586119144	9.39781880578667e-09
ME11	ME3	-0.287798470845488	0.00654859801699131
ME9	ME3	0.037709407678244	0.727230636418303
treat_Treat	ME3	0.00213558776094563	0.984245068267245
treat_Ctrl	ME0	0.043056313670479	0.690398962381791
ME10	ME0	0.0908627803168327	0.399830205813463
ME3	ME0	0.788326225988233	7.81013793938012e-20
ME0	ME0	1	0
ME2	ME0	0.924620419309659	8.2296240007811e-38
ME6	ME0	0.201447974235085	0.0598260934336583
ME7	ME0	0.422370404947673	4.14797916384003e-05
ME5	ME0	-0.626929005479241	6.3793125638188e-11
ME1	ME0	-0.990162987099389	3.04056502646422e-75
ME8	ME0	-0.754386937115915	2.13981940696182e-17
ME4	ME0	-0.726743872869331	1.09912953076169e-15
ME11	ME0	-0.343710091455116	0.00104293790827545
ME9	ME0	0.159311692912317	0.138182203944055
treat_Treat	ME0	-0.043056313670479	0.690398962381791
treat_Ctrl	ME2	-0.00164611532447241	0.987855752361176
ME10	ME2	0.0317270186078798	0.7691826725458
ME3	ME2	0.672745262717363	7.03677435509175e-13
ME0	ME2	0.924620419309659	8.2296240007811e-38
ME2	ME2	1	0
ME6	ME2	0.127448917624285	0.236684411963307
ME7	ME2	0.303835432521496	0.00400406137789239
ME5	ME2	-0.584586702037935	2.23141001686998e-09
ME1	ME2	-0.929174401796183	6.218825994028e-39
ME8	ME2	-0.693649253252511	6.82245698808331e-14
ME4	ME2	-0.647071345988201	9.66142439071895e-12
ME11	ME2	-0.278001444469753	0.00872851275085391
ME9	ME2	0.11337341298747	0.292925460840853
treat_Treat	ME2	0.00164611532447241	0.987855752361176
treat_Ctrl	ME6	0.104718962296419	0.331559258477048
ME10	ME6	-0.10306492164937	0.339295397928343
ME3	ME6	0.280618356248667	0.00809141765059738
ME0	ME6	0.201447974235085	0.0598260934336583
ME2	ME6	0.127448917624285	0.236684411963307
ME6	ME6	1	0
ME7	ME6	0.636959557636157	2.53546115890456e-11
ME5	ME6	-0.149865992638095	0.163423103122116
ME1	ME6	-0.224067818365677	0.0358476063819712
ME8	ME6	-0.166520781577594	0.120993772734599
ME4	ME6	-0.144325264753295	0.179735995699025
ME11	ME6	-0.0906911807543006	0.400724563479508
ME9	ME6	-0.0600912802055554	0.578108917034778
treat_Treat	ME6	-0.104718962296419	0.331559258477048
treat_Ctrl	ME7	0.100279860935585	0.352576152129563
ME10	ME7	0.607996163111901	3.335921796551e-10
ME3	ME7	0.551291334343235	2.60418237112522e-08
ME0	ME7	0.422370404947673	4.14797916384003e-05
ME2	ME7	0.303835432521496	0.00400406137789239
